@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_VAR_on_ACC_X numeric
@attribute F3_PeakToPeak_on_ACC_X numeric
@attribute F4_MIN_on_ACC_X numeric
@attribute F5_MAX_on_ACC_X numeric
@attribute F6_MEAN_on_ACC_Y numeric
@attribute F7_VAR_on_ACC_Y numeric
@attribute F8_PeakToPeak_on_ACC_Y numeric
@attribute F9_MIN_on_ACC_Y numeric
@attribute F10_MAX_on_ACC_Y numeric
@attribute F11_MEAN_on_ACC_Z numeric
@attribute F12_VAR_on_ACC_Z numeric
@attribute F13_PeakToPeak_on_ACC_Z numeric
@attribute F14_MIN_on_ACC_Z numeric
@attribute F15_MAX_on_ACC_Z numeric
@attribute F16_MEAN_on_GY_X numeric
@attribute F17_VAR_on_GY_X numeric
@attribute F18_PeakToPeak_on_GY_X numeric
@attribute F19_MIN_on_GY_X numeric
@attribute F20_MAX_on_GY_X numeric
@attribute F21_MEAN_on_GY_Y numeric
@attribute F22_VAR_on_GY_Y numeric
@attribute F23_PeakToPeak_on_GY_Y numeric
@attribute F24_MIN_on_GY_Y numeric
@attribute F25_MAX_on_GY_Y numeric
@attribute F26_MEAN_on_GY_Z numeric
@attribute F27_VAR_on_GY_Z numeric
@attribute F28_PeakToPeak_on_GY_Z numeric
@attribute F29_MIN_on_GY_Z numeric
@attribute F30_MAX_on_GY_Z numeric
@attribute class {Forward_Backward, Idle, Lateral, Up_Down}

@data
-0.00187492, 0.0173645, 0.685547, -0.419678, 0.265625, -0.01091, 0.00252151, 0.291504, -0.192993, 0.0985107, 1.02441, 0.000976563, 0.408691, 0.815918, 1.22461, -0.00616837, 0.037262, 1.24121, -0.703613, 0.537598, -0.0163422, 0.160889, 2.26953, -1.0498, 1.21973, 0.00196838, 0.0499268, 1.7334, -1.32617, 0.406982, Forward_Backward
0.024231, 0.00123215, 0.166138, -0.0643311, 0.101807, -0.00907135, 0.00281334, 0.3479, -0.232422, 0.115295, 1.01855, 0.0166016, 0.765625, 0.681641, 1.44727, -0.00850677, 0.0577698, 1.40039, -0.741699, 0.658203, -0.0216827, 0.0482788, 1.31055, -0.806152, 0.503906, -0.0466919, 0.0247955, 1.01953, -0.476074, 0.542969, Forward_Backward
0.0152664, 0.0137329, 0.586426, -0.273193, 0.312988, -0.0133743, 0.00237083, 0.193848, -0.109619, 0.0841675, 1.02246, 0.00390625, 0.553711, 0.884766, 1.43848, -0.0111542, 0.0568848, 1.36328, -0.714844, 0.648438, 0.0382996, 0.0710449, 1.63184, -0.854004, 0.777832, 0.0278473, 0.035614, 0.958984, -0.463867, 0.495117, Forward_Backward
-0.00826263, 0.0227509, 0.645508, -0.341553, 0.303711, -0.0446777, 0.00439072, 0.332275, -0.199097, 0.133057, 1.01172, 0.00292969, 0.341797, 0.838867, 1.18066, -0.0051918, 0.0665894, 1.55273, -0.937988, 0.614746, 0.0142136, 0.155273, 1.77344, -1.0166, 0.756836, -0.00365257, 0.016571, 0.660645, -0.387207, 0.273438, Forward_Backward
-0.0155106, 0.0219116, 0.746582, -0.369141, 0.377441, -0.0257111, 0.0039711, 0.453125, -0.249878, 0.203247, 1.01855, 0.000976563, 0.244629, 0.885254, 1.12988, 0.00434875, 0.0811157, 1.62598, -0.854004, 0.771484, -0.0193024, 0.0835571, 1.31836, -0.688965, 0.629395, -0.00920868, 0.026001, 0.94043, -0.550781, 0.389648, Forward_Backward
-0.0134964, 0.0251465, 0.66748, -0.323975, 0.343262, -0.00073719, 0.0046196, 0.308594, -0.159058, 0.149414, 1.02148, 0.00585938, 0.323242, 0.84375, 1.16699, 0.0104675, 0.0575256, 1.17188, -0.696289, 0.475098, 0.0164642, 0.0822144, 1.47852, -0.818848, 0.659668, 0.000868797, 0.0397339, 0.889648, -0.390137, 0.499512, Forward_Backward
0.00065279, 0.0256958, 0.728516, -0.364502, 0.36377, -0.0115967, 0.00292206, 0.336182, -0.137817, 0.198364, 1.01953, 0, 0.210938, 0.920898, 1.13184, -0.00303459, 0.0734253, 1.70898, -0.671875, 1.03711, 0.035553, 0.0666504, 1.41602, -0.521973, 0.894043, -0.0281067, 0.0370789, 0.871094, -0.432861, 0.438232, Forward_Backward
-0.0218201, 0.0189514, 0.655762, -0.327148, 0.328613, -0.0416565, 0.00305176, 0.32959, -0.21875, 0.110657, 1.02637, 0, 0.335938, 0.882813, 1.21875, -0.00662613, 0.0530701, 1.27539, -0.483887, 0.791016, -0.0453796, 0.142944, 2.29883, -1.2373, 1.06152, 0.0273132, 0.0647583, 1.70703, -0.587402, 1.11914, Forward_Backward
0.048645, 0.0167999, 0.527344, -0.20459, 0.322754, -0.015686, 0.00244141, 0.265625, -0.147949, 0.117615, 1.01758, 0, 0.294434, 0.853027, 1.14746, 0.00814819, 0.0519409, 0.973633, -0.419189, 0.554199, 0.0287933, 0.0715332, 1.49609, -0.544434, 0.951172, -0.00606537, 0.0278778, 0.875977, -0.391357, 0.484375, Forward_Backward
0.0530396, 0.0245514, 0.69873, -0.327148, 0.371338, -0.0139008, 0.00263977, 0.252686, -0.15332, 0.0993042, 1.01367, 0, 0.406738, 0.812988, 1.21973, -0.00927734, 0.106689, 1.46387, -0.623535, 0.840332, -0.0199738, 0.155762, 2.06641, -1.02246, 1.04395, -0.000309229, 0.0472717, 1.25, -0.564453, 0.685059, Forward_Backward
