A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
-30.316999	-9.516000	1023.275024	1.365000	2.021250	-1.338750
-26.108000	-5.856000	1000.338989	-0.323750	2.485000	0.183750
-27.877001	-16.348000	1036.878052	-1.951250	1.093750	0.608125
-3.355000	-25.193001	1050.664062	2.450000	1.636250	0.822500
-23.424000	-22.691999	977.158997	1.789375	12.683125	2.625000
-35.806999	-19.642000	993.080017	-3.272500	-0.988750	0.083125
-33.367001	-13.298000	1014.674011	-3.346875	-4.480000	-2.633750
-25.254000	6.405000	1047.187012	-2.625000	1.071875	-4.020625
-23.424000	-15.616000	1007.476013	1.303750	5.320000	-1.063125
-19.398001	-15.128000	1014.979004	4.681250	-0.122500	1.448125
-18.177999	-15.799000	994.605042	8.128750	1.474375	1.763125
-24.948999	-14.152000	1000.156006	9.126250	-0.485625	0.476875
-20.557001	3.904000	1007.903015	2.191875	-4.641875	-1.190000
-20.191000	-2.196000	1019.432007	-8.732500	1.815625	-3.062500
-10.553000	-5.307000	1079.883057	-15.885625	-0.284375	-8.163750
-23.546000	-17.019001	1044.930054	-14.100625	16.948750	-7.122500
-52.764999	-19.398001	993.263000	-13.020000	12.836250	-3.661875
-45.811001	-44.652000	1025.593018	3.294375	-0.485625	0.498750
-35.868000	-44.408001	998.387024	12.941250	2.909375	3.447500
-37.453999	-33.428001	990.335022	14.083125	-1.211875	2.616250
-37.820000	-8.784000	1009.428040	4.169375	-2.625000	0.406875
-36.966000	-2.989000	1029.009033	-1.238125	-2.253125	-2.016875
-39.528000	7.442000	1018.212036	-2.550625	2.568125	-2.721250
-38.063999	-1.220000	1030.473022	-4.060000	-0.476875	-2.336250
-31.354000	-17.507000	1018.639038	-3.381875	2.043125	-1.356250
-24.827000	-19.398001	1028.093994	-4.029375	0.301875	-0.962500
-35.868000	-21.899000	1000.888000	-0.577500	-0.218750	-0.647500
-39.284000	-26.352001	990.457031	0.704375	-0.236250	0.105000
-41.968002	-27.267000	1002.230042	0.988750	-2.038750	0.721875
-28.670000	-21.228001	1030.534058	4.370625	-1.898750	-0.533750
-35.136002	-22.448000	1017.114014	5.131875	-0.971250	-0.546875
-31.415001	-12.200000	1019.309998	1.671250	-2.401875	-0.752500
-27.632999	-17.568001	1011.562988	2.883125	-1.373750	-0.616875
-25.071001	2.257000	991.738037	3.163125	-2.463125	-0.035000
-27.267000	21.167000	1027.666992	4.335625	-3.871875	-1.522500
-22.631001	18.117001	1037.122070	0.223125	-0.315000	-2.113125
-22.936001	2.684000	1004.548035	-3.635625	3.447500	-1.290625
