@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_VAR_on_ACC_X numeric
@attribute F3_PeakToPeak_on_ACC_X numeric
@attribute F4_MIN_on_ACC_X numeric
@attribute F5_MAX_on_ACC_X numeric
@attribute F6_MEAN_on_ACC_Y numeric
@attribute F7_VAR_on_ACC_Y numeric
@attribute F8_PeakToPeak_on_ACC_Y numeric
@attribute F9_MIN_on_ACC_Y numeric
@attribute F10_MAX_on_ACC_Y numeric
@attribute F11_MEAN_on_ACC_Z numeric
@attribute F12_VAR_on_ACC_Z numeric
@attribute F13_PeakToPeak_on_ACC_Z numeric
@attribute F14_MIN_on_ACC_Z numeric
@attribute F15_MAX_on_ACC_Z numeric
@attribute F16_MEAN_on_GY_X numeric
@attribute F17_VAR_on_GY_X numeric
@attribute F18_PeakToPeak_on_GY_X numeric
@attribute F19_MIN_on_GY_X numeric
@attribute F20_MAX_on_GY_X numeric
@attribute F21_MEAN_on_GY_Y numeric
@attribute F22_VAR_on_GY_Y numeric
@attribute F23_PeakToPeak_on_GY_Y numeric
@attribute F24_MIN_on_GY_Y numeric
@attribute F25_MAX_on_GY_Y numeric
@attribute F26_MEAN_on_GY_Z numeric
@attribute F27_VAR_on_GY_Z numeric
@attribute F28_PeakToPeak_on_GY_Z numeric
@attribute F29_MIN_on_GY_Z numeric
@attribute F30_MAX_on_GY_Z numeric
@attribute class {Forward_Backward, Idle, Lateral, Up_Down}

@data
0.00881195, 0.019989, 0.581543, -0.241089, 0.340332, -0.0377197, 0.00178528, 0.235474, -0.157959, 0.0774536, 1.0166, 0.000976563, 0.285156, 0.87793, 1.16309, -0.0174561, 0.052948, 1.08789, -0.424072, 0.663574, 0.00701141, 0.0583801, 1.30078, -0.462646, 0.837402, -0.0209656, 0.0332031, 0.905273, -0.404053, 0.500977, Forward_Backward
-0.0337219, 0.0273132, 0.710938, -0.345459, 0.365234, 0.000880718, 0.0031929, 0.281494, -0.081543, 0.199951, 1.01855, 0.00292969, 0.419434, 0.834473, 1.25391, -0.00792694, 0.0670166, 1.44824, -0.914551, 0.533203, 0.0105972, 0.0431824, 1.12109, -0.499512, 0.621094, 0.0131302, 0.0247803, 0.794434, -0.393311, 0.401123, Forward_Backward
-0.0221863, 0.0223083, 0.653809, -0.337402, 0.316406, -0.046936, 0.00343895, 0.336182, -0.224976, 0.111206, 1.01855, 0.00292969, 0.490234, 0.745117, 1.23535, 0.00328064, 0.0802002, 1.46973, -0.525391, 0.944336, -0.00300789, 0.0809937, 1.55664, -0.831055, 0.725098, 0.0146103, 0.0350342, 1.04785, -0.541016, 0.506836, Forward_Backward
-0.0114594, 0.0213013, 0.612793, -0.292725, 0.320068, -0.0436401, 0.00365829, 0.310547, -0.157227, 0.15332, 1.01855, 0, 0.24707, 0.869141, 1.11621, -0.0115891, 0.111755, 2.18359, -1.06641, 1.11719, 0.0236969, 0.0306244, 0.977539, -0.5, 0.477539, -0.00203514, 0.035614, 0.949707, -0.359619, 0.589844, Forward_Backward
-0.0387573, 0.0201111, 0.618164, -0.351807, 0.266357, -0.0118561, 0.00377274, 0.312256, -0.219604, 0.0925903, 1.01855, 0.00195313, 0.22168, 0.90918, 1.13086, 0.0231018, 0.0996704, 1.56836, -0.767578, 0.800781, 0.0328369, 0.0579529, 1.19043, -0.595215, 0.594727, -0.0042038, 0.0926514, 1.5625, -0.776855, 0.785156, Forward_Backward
-0.0639648, 0.0156403, 0.563965, -0.31958, 0.244141, 0.011879, 0.00219917, 0.220337, -0.122803, 0.0975342, 1.02148, 0, 0.316895, 0.83252, 1.14941, -0.0144119, 0.0451965, 1.02637, -0.4104, 0.615234, -0.0047226, 0.142456, 2.48828, -1.46484, 1.02344, 0.0108719, 0.0488586, 1.03027, -0.380615, 0.648926, Forward_Backward
-0.0258484, 0.0215912, 0.570313, -0.329102, 0.240967, -0.00497437, 0.00320053, 0.289795, -0.130005, 0.15979, 1.02344, 0.00488281, 0.299805, 0.873047, 1.17285, -0.00104237, 0.157715, 2.07227, -0.984375, 1.08789, 0.00362968, 0.047821, 1.13672, -0.501953, 0.634277, -0.0146255, 0.0569458, 1.29688, -0.592773, 0.704102, Forward_Backward
0.00488663, 0.0162354, 0.544922, -0.264648, 0.280273, -0.0375366, 0.00134563, 0.181152, -0.103699, 0.0773926, 1.01563, 0, 0.418945, 0.785156, 1.2041, -0.0135345, 0.10144, 1.52246, -0.665527, 0.856445, 0.00899506, 0.0561523, 1.18457, -0.661133, 0.523438, -0.0473022, 0.0272217, 0.827637, -0.497314, 0.330078, Forward_Backward
-0.0526428, 0.0156403, 0.546875, -0.301514, 0.244995, -0.0290833, 0.00141239, 0.178711, -0.135742, 0.0429382, 1.02734, 0.00488281, 0.314941, 0.869629, 1.18457, 0.0125809, 0.0430908, 1.13672, -0.592773, 0.543457, -0.0179901, 0.085144, 1.45898, -0.472168, 0.986816, 0.0298767, 0.0150986, 0.568359, -0.227173, 0.34082, Forward_Backward
-0.0144653, 0.0132294, 0.483643, -0.284668, 0.198975, -0.0259705, 0.00383949, 0.452637, -0.384277, 0.0684204, 1.01465, 0.00195313, 0.376953, 0.835938, 1.21289, -0.0150223, 0.061676, 1.2207, -0.590332, 0.629883, 0.072876, 0.131714, 1.73145, -0.73877, 0.992188, 0.0142365, 0.059082, 1.49805, -0.807617, 0.69043, Forward_Backward
