@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_ACC_V numeric
@attribute F5_MEAN_on_GY_X numeric
@attribute F6_MEAN_on_GY_Y numeric
@attribute F7_MEAN_on_GY_Z numeric
@attribute F8_VAR_on_ACC_X numeric
@attribute F9_VAR_on_ACC_Y numeric
@attribute F10_VAR_on_ACC_Z numeric
@attribute F11_VAR_on_GY_X numeric
@attribute F12_VAR_on_GY_Y numeric
@attribute F13_VAR_on_GY_Z numeric
@attribute F14_PeakToPeak_on_ACC_X numeric
@attribute F15_PeakToPeak_on_ACC_Y numeric
@attribute F16_PeakToPeak_on_ACC_Z numeric
@attribute F17_PeakToPeak_on_GY_X numeric
@attribute F18_PeakToPeak_on_GY_Y numeric
@attribute F19_PeakToPeak_on_GY_Z numeric
@attribute F20_MIN_on_ACC_X numeric
@attribute F21_MIN_on_ACC_Y numeric
@attribute F22_MIN_on_ACC_Z numeric
@attribute F23_MIN_on_GY_X numeric
@attribute F24_MIN_on_GY_Y numeric
@attribute F25_MIN_on_GY_Z numeric
@attribute F26_MAX_on_ACC_X numeric
@attribute F27_MAX_on_ACC_Y numeric
@attribute F28_MAX_on_ACC_Z numeric
@attribute F29_MAX_on_GY_X numeric
@attribute F30_MAX_on_GY_Y numeric
@attribute F31_MAX_on_GY_Z numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
-0.0172577, -0.000437498, 1.00195, 1.03809, 0.113708, -0.164429, 0.0298004, 0.0565186, 0.00926208, 0.0195313, 0.0588379, 0.490479, 0.278809, 0.974609, 0.378906, 0.583984, 1.27441, 2.54297, 1.83398, -0.492188, -0.205688, 0.688477, -0.355225, -1.54297, -1.11719, 0.482422, 0.173096, 1.27246, 0.918457, 1, 0.716797, Circle
0.0930786, -0.00891113, 1.01758, 1.05371, 0.126221, 0.127686, 0.143799, 0.0471497, 0.0160675, 0.0214844, 0.0549927, 0.384521, 0.319824, 0.827637, 0.54834, 0.660156, 1.24316, 2.47266, 2.12109, -0.405029, -0.27002, 0.611328, -0.457764, -1.05078, -1.34473, 0.422607, 0.27832, 1.27148, 0.785156, 1.42188, 0.775391, Circle
-0.0414124, -0.00919342, 0.949219, 0.982422, 0.13501, 0.0562744, -0.105225, 0.0481262, 0.0125809, 0.0283203, 0.0608826, 0.448975, 0.292969, 0.788574, 0.531738, 0.760742, 1.12598, 2.82422, 1.79492, -0.412598, -0.283936, 0.53125, -0.352539, -1.44629, -1.03223, 0.375732, 0.247681, 1.29199, 0.773438, 1.37695, 0.762207, Circle
-0.0429993, -0.024704, 1.01367, 1.04102, 0.120789, -0.0825806, 0.0257568, 0.0343323, 0.0172424, 0.0195313, 0.0884399, 0.311279, 0.411377, 0.690918, 0.489014, 0.883789, 1.35254, 2.30078, 2.47852, -0.422607, -0.304199, 0.466797, -0.622559, -1.13672, -1.48633, 0.268066, 0.184692, 1.35059, 0.72998, 1.16406, 0.990723, Circle
-0.020462, 0.0156021, 1.00977, 1.03906, 0.0760498, 0.0360413, 0.134888, 0.041626, 0.00964355, 0.0234375, 0.0655518, 0.314453, 0.296143, 0.699707, 0.534668, 0.661133, 1.10449, 2.3418, 2.16602, -0.406738, -0.224976, 0.643555, -0.441895, -1.21777, -1.08887, 0.292969, 0.30957, 1.30469, 0.662109, 1.12402, 1.07617, Circle
-0.103638, 0.0194244, 0.982422, 1.01367, 0.106506, 0.137939, 0.00596237, 0.0327148, 0.0114899, 0.0200195, 0.0465698, 0.309326, 0.208984, 0.701172, 0.437012, 0.499023, 1.11328, 2.09961, 1.87012, -0.422852, -0.163452, 0.739258, -0.566406, -0.793457, -0.82959, 0.278076, 0.273438, 1.23828, 0.546875, 1.30566, 1.04004, Circle
-0.0752563, -0.0216827, 0.97998, 1.00391, 0.150146, -0.139404, -0.0939331, 0.0287323, 0.007267, 0.0244141, 0.131104, 0.325439, 0.31543, 0.647461, 0.440918, 0.718262, 1.79395, 2.19141, 1.83594, -0.45166, -0.21167, 0.543457, -0.425293, -1.11133, -1.19824, 0.195801, 0.229248, 1.26172, 1.36816, 1.08008, 0.637695, Circle
-0.0588074, 0.0262451, 1.02441, 1.0498, 0.0792847, -0.0240173, 0.121277, 0.0324402, 0.00926208, 0.0234375, 0.0916138, 0.269531, 0.301758, 0.666016, 0.510254, 0.768066, 1.34473, 2.08594, 2.04492, -0.43335, -0.260986, 0.566895, -0.575195, -1.10938, -1.16992, 0.232544, 0.249268, 1.33496, 0.769531, 0.976563, 0.874023, Circle
-0.10553, 0.0357666, 0.986816, 1.01758, 0.0960083, 0.178711, 0.0742188, 0.0271912, 0.0163727, 0.0283203, 0.0916748, 0.346924, 0.313232, 0.606445, 0.585449, 0.617188, 1.34277, 2.375, 2.26172, -0.422119, -0.351074, 0.650391, -0.578125, -1.13672, -1.19336, 0.18396, 0.234131, 1.26758, 0.764648, 1.23828, 1.06836, Circle
-0.00484085, 0.00417328, 1.01563, 1.02051, 0.0131073, -0.0203857, -0.104736, 0.00746536, 0.00304794, 0.00390625, 0.0653687, 0.22168, 0.163574, 0.786621, 0.313477, 0.652832, 1.76465, 3.51172, 2.66406, -0.519531, -0.158569, 0.633301, -0.556641, -1.96777, -2.08984, 0.26709, 0.154907, 1.28613, 1.20801, 1.54395, 0.574707, Circle
0.0624084, 0.0135651, 1.0127, 1.01855, 0.00736237, 0.026123, 0.00906372, 0.00413895, 0.0021019, 0.00390625, 0.0415039, 0.129517, 0.0534363, 0.317383, 0.224487, 0.226074, 1.04785, 1.59766, 1.04297, -0.0864868, -0.109314, 0.902832, -0.680664, -0.75, -0.407715, 0.230713, 0.115112, 1.12891, 0.366455, 0.847168, 0.635254, Circle
0.052002, 0.0671997, 1.0166, 1.02539, 0.0339355, -0.0315552, 0.124817, 0.00775528, 0.00756073, 0.00585938, 0.0338135, 0.0737915, 0.0500488, 0.294678, 0.446533, 0.472656, 1.07227, 1.44824, 0.979004, -0.0674438, -0.109375, 0.744141, -0.42334, -0.858398, -0.182373, 0.227173, 0.337158, 1.2168, 0.648926, 0.589355, 0.796387, Circle
-0.0269318, 0.0450134, 0.981445, 1.01172, 0.125244, 0.144653, -0.00737762, 0.047821, 0.0124512, 0.0229492, 0.112854, 0.449463, 0.459229, 0.789551, 0.51416, 0.561523, 1.83691, 2.53125, 2.28711, -0.443848, -0.216553, 0.646484, -0.755859, -1.04395, -1.24219, 0.345703, 0.297363, 1.20801, 1.08105, 1.48633, 1.04492, Circle
-0.0664673, -0.0799561, 0.964355, 1.00977, 0.122864, -0.103027, -0.0841675, 0.0580444, 0.0127411, 0.0219727, 0.118225, 0.45166, 0.395508, 0.937012, 0.492188, 0.665039, 1.49707, 2.70508, 2.45898, -0.49292, -0.354004, 0.595703, -0.868652, -1.37695, -1.16602, 0.443848, 0.138184, 1.26074, 0.628418, 1.32715, 1.29199, Circle
-0.0666504, -0.0772705, 0.958984, 1.03027, 0.182373, -0.154297, 0.0310364, 0.102417, 0.0178986, 0.0283203, 0.0625, 0.581055, 0.355225, 1.07813, 0.534668, 0.645508, 1.25684, 2.99805, 2.13867, -0.635254, -0.319092, 0.611328, -0.362549, -1.39063, -1.0127, 0.442139, 0.215332, 1.25684, 0.894043, 1.60645, 1.12598, Circle
0.0783691, -0.108215, 0.983887, 1.02344, 0.0977783, 0.046051, 0.0958862, 0.0607605, 0.00806427, 0.00390625, 0.0593567, 0.311768, 0.294434, 0.860352, 0.424316, 0.335449, 0.982422, 2.1582, 2.07813, -0.380615, -0.293213, 0.781738, -0.455078, -0.912598, -1.08398, 0.479492, 0.130981, 1.11719, 0.527344, 1.24414, 0.992676, Circle
-0.00556564, -0.102905, 1, 1.03711, 0.110962, 0.051178, 0.106384, 0.0515747, 0.0115509, 0.0175781, 0.0511169, 0.376465, 0.330811, 0.878906, 0.466553, 0.562012, 1.16406, 2.83203, 1.93555, -0.486328, -0.355469, 0.64502, -0.598633, -1.1709, -0.874512, 0.392578, 0.111023, 1.20703, 0.56543, 1.66113, 1.06055, Circle
-0.109375, -0.0845947, 0.947754, 1.00293, 0.205078, 0.0929565, -0.0350037, 0.0655518, 0.0158234, 0.019043, 0.0941772, 0.466064, 0.290039, 0.793457, 0.483154, 0.579102, 1.48242, 2.50391, 2.19531, -0.499756, -0.326416, 0.620117, -0.605469, -1.09082, -1.23145, 0.293457, 0.156616, 1.19922, 0.876953, 1.41309, 0.962402, Circle
-0.0730591, -0.0939941, 0.938477, 1.00586, 0.160645, -0.0438843, -0.0985718, 0.0762939, 0.028244, 0.0249023, 0.0679321, 0.337402, 0.354492, 0.933105, 0.659668, 0.605469, 1.24609, 2.96484, 2.3125, -0.575684, -0.405029, 0.628906, -0.556152, -1.42871, -1.22949, 0.357178, 0.254395, 1.23438, 0.689453, 1.53516, 1.08203, Circle
-0.0558472, -0.112305, 0.978516, 1.0166, 0.0386658, -0.10553, -0.0399475, 0.0469971, 0.00887299, 0.0185547, 0.102905, 0.351074, 0.260498, 0.835449, 0.437256, 0.587402, 1.30371, 2.33203, 2.09961, -0.45752, -0.347168, 0.710449, -0.749512, -1.17676, -0.96582, 0.37793, 0.0900269, 1.29785, 0.554199, 1.15527, 1.13281, Circle
-0.0539856, -0.12915, 0.995605, 1.03613, 0.103516, -0.0623474, 0.0119476, 0.0427551, 0.0178986, 0.0175781, 0.130127, 0.257324, 0.22522, 0.765137, 0.469727, 0.485352, 1.66406, 1.90137, 1.97656, -0.47168, -0.351807, 0.717773, -0.791016, -1.0127, -0.864746, 0.293213, 0.117798, 1.20313, 0.872559, 0.888672, 1.11133, Circle
-0.0358887, -0.0734253, 0.999512, 1.03125, 0.0803223, -0.0418091, 0.0339966, 0.0466309, 0.00865936, 0.015625, 0.0614319, 0.289551, 0.233643, 0.762207, 0.393311, 0.578125, 1.08301, 3.07031, 2.05078, -0.426758, -0.25293, 0.705078, -0.509277, -1.21387, -0.931152, 0.335205, 0.140381, 1.2832, 0.573242, 1.85547, 1.11914, Circle
-0.067627, -0.0777588, 0.982422, 1.01953, 0.10498, -0.0326538, 0.0607605, 0.0570068, 0.00843048, 0.0107422, 0.0645752, 0.260742, 0.254395, 0.885254, 0.400635, 0.541992, 1.28125, 2.07031, 1.84961, -0.55127, -0.258545, 0.662109, -0.711426, -1.04492, -0.893066, 0.33374, 0.141968, 1.2041, 0.569824, 1.02539, 0.956055, Circle
-0.0496826, -0.0646973, 0.996094, 1.03125, 0.0939331, 0.0343018, 0.0559082, 0.0481262, 0.0117645, 0.0146484, 0.100464, 0.250977, 0.243896, 0.79541, 0.432617, 0.496094, 1.72363, 2.07617, 1.80664, -0.446045, -0.333252, 0.754883, -0.752441, -1.00098, -0.780762, 0.349121, 0.0993042, 1.25098, 0.970703, 1.0752, 1.02539, Circle
-0.0969238, -0.0722046, 0.986816, 1.02246, 0.0604858, 0.0431824, 0.0510254, 0.0438843, 0.00943756, 0.015625, 0.0820923, 0.301758, 0.172729, 0.765625, 0.449463, 0.483887, 1.30176, 2.0918, 1.7168, -0.465576, -0.368652, 0.733887, -0.624023, -0.981934, -0.785156, 0.299805, 0.0808716, 1.21777, 0.677246, 1.10938, 0.931152, Circle
-0.126587, -0.0786133, 0.95459, 0.997559, 0.165161, 0.0292816, -0.0632324, 0.0474548, 0.0087204, 0.0234375, 0.085022, 0.294922, 0.313477, 0.808594, 0.471924, 0.588379, 1.3125, 2.17969, 2.16602, -0.442139, -0.332031, 0.697754, -0.433105, -0.833984, -1.05859, 0.366455, 0.139893, 1.28613, 0.879395, 1.3457, 1.10645, Circle
-0.118652, -0.0900879, 0.965332, 1.00781, 0.0916748, -0.115479, -0.0541687, 0.0432739, 0.0124207, 0.0200195, 0.0895996, 0.306641, 0.287109, 0.719238, 0.438232, 0.578613, 1.66992, 2.31055, 1.91309, -0.493164, -0.279297, 0.668457, -0.655273, -1.10742, -0.811523, 0.22583, 0.158813, 1.24707, 1.01465, 1.20313, 1.10156, Circle
-0.0841064, -0.140625, 0.993164, 1.03418, 0.0372009, -0.0535278, 0.0127945, 0.0427551, 0.0124817, 0.0195313, 0.0962524, 0.270508, 0.214478, 0.802734, 0.499268, 0.714844, 1.59375, 1.85254, 1.9834, -0.528809, -0.405029, 0.62793, -0.920898, -1.00586, -0.960449, 0.273926, 0.0942383, 1.34277, 0.672852, 0.84668, 1.02246, Circle
-0.00801086, 6.32405e-05, 1.01074, 1.01074, -0.00494003, 0.00804138, -0.026001, 2.38419e-05, 0.000151396, 0.00976563, 2.44975e-05, 6.10948e-05, 0.0103073, 0.0340271, 0.124023, 0.125488, 0.0426941, 0.0540466, 0.69043, -0.026947, -0.0281677, 0.937012, -0.0272522, -0.0388489, -0.69043, 0.00707245, 0.0958252, 1.0625, 0.015419, 0.0151901, 0, Idle
-0.00830078, 0.000658035, 1.01172, 1.01172, -0.004776, 0.00907135, -0.00521851, 1.22786e-05, 1.94907e-05, 0.00585938, 4.11272e-06, 6.79493e-06, 1.49012e-06, 0.0149994, 0.0181122, 0.00976563, 0.00969696, 0.00946808, 0.00549316, -0.0159149, -0.00945282, 1.00977, -0.0101547, 0.00450134, -0.00785828, -0.000914574, 0.00865936, 1.01953, -0.000458002, 0.0139694, -0.00236702, Idle
-0.00783539, 0.000498295, 1.01172, 1.01172, -0.00440979, 0.00912476, -0.00512314, 1.15037e-05, 1.65701e-05, 0.0117188, 4.35114e-06, 5.90086e-06, 1.72853e-06, 0.0138397, 0.0161591, 0.0107422, 0.00901031, 0.0106888, 0.00617981, -0.014267, -0.00847626, 1.00977, -0.00939178, 0.00396729, -0.00823975, -0.000426769, 0.0076828, 1.02051, -0.000381708, 0.0146561, -0.00205994, Idle
-0.00792694, 0.000324965, 1.01172, 1.01172, -0.00487137, 0.00947571, -0.00481796, 7.51019e-06, 9.89437e-06, 0.00878906, 4.29153e-06, 8.04663e-06, 8.34465e-07, 0.0124969, 0.0121384, 0.00878906, 0.00901031, 0.0125198, 0.00465775, -0.0145721, -0.00536728, 1.01172, -0.0100784, 0.00274849, -0.00732803, -0.00207329, 0.00676727, 1.02051, -0.00106812, 0.0152664, -0.0026722, Idle
-0.00839233, 0.000290394, 1.0127, 1.0127, -0.00484085, 0.00861359, -0.00489807, 1.06692e-05, 1.21593e-05, 0.00585938, 4.05312e-06, 7.09295e-06, 1.13249e-06, 0.0181732, 0.0206757, 0.0146484, 0.0100784, 0.0145035, 0.00572586, -0.0159149, -0.0121994, 1.00781, -0.00954437, 0.000305414, -0.00725174, 0.00225639, 0.00847626, 1.02246, 0.000534058, 0.0148087, -0.00152683, Idle
-0.00831604, 0.000766754, 1.0127, 1.0127, -0.00481415, 0.0102768, -0.00471497, 6.67572e-06, 8.40425e-06, 0.00585938, 4.64916e-06, 7.86781e-06, 7.15256e-07, 0.0137787, 0.0144577, 0.00976563, 0.0110626, 0.0119858, 0.00404739, -0.0134735, -0.0060997, 1.00977, -0.00854492, 0.00290108, -0.00664139, 0.000304937, 0.00835419, 1.01953, 0.00251961, 0.0148849, -0.0025959, Idle
-0.00802612, 0.00105286, 1.01172, 1.01172, -0.00564575, 0.0098114, -0.00514603, 1.19209e-05, 9.0003e-06, 0.00683594, 4.70877e-06, 5.66244e-06, 7.7486e-07, 0.017807, 0.0153046, 0.015625, 0.0107651, 0.0117493, 0.00442886, -0.0155487, -0.00682831, 1.00781, -0.0112991, 0.00496292, -0.00732803, 0.00225639, 0.00847626, 1.02344, -0.000534058, 0.0167084, -0.00290108, Idle
-0.00774002, 0.0010004, 1.0127, 1.0127, -0.00535583, 0.00952911, -0.00497055, 1.01328e-05, 8.76188e-06, 0.00390625, 3.33786e-06, 5.06639e-06, 8.34465e-07, 0.0157318, 0.0138397, 0.0185547, 0.00763702, 0.0101547, 0.00511551, -0.0149994, -0.00719452, 1.00684, -0.00977325, 0.0038929, -0.0077095, 0.000731945, 0.0066452, 1.02539, -0.00213623, 0.0140457, -0.0025959, Idle
-0.00832367, 0.000564575, 1.01172, 1.01172, -0.00447083, 0.00889587, -0.00495911, 7.45058e-06, 1.19209e-05, 0.00976563, 3.63588e-06, 7.62939e-06, 1.07288e-06, 0.0129242, 0.0206146, 0.0195313, 0.0075531, 0.0122147, 0.00549698, -0.0148773, -0.00829315, 1.00684, -0.00839233, 0.00335884, -0.00755692, -0.00195122, 0.0123215, 1.02637, -0.00083971, 0.0155716, -0.00205994, Idle
-0.00790405, 0.000638962, 1.0127, 1.0127, -0.00456619, 0.00920105, -0.00499344, 7.86781e-06, 9.47714e-06, 0.00390625, 2.74181e-06, 9.53674e-06, 8.9407e-07, 0.0134735, 0.015007, 0.0175781, 0.00763321, 0.0137329, 0.00442886, -0.0151215, -0.00652695, 1.00879, -0.0077095, 0.0019083, -0.00725174, -0.001647, 0.00847626, 1.02637, -7.63535e-05, 0.0156403, -0.00282478, Idle
-0.0082016, 0.000770092, 1.0127, 1.0127, -0.00548935, 0.0106659, -0.00491333, 7.80821e-06, 7.56979e-06, 0.00585938, 4.29153e-06, 6.4373e-06, 1.07288e-06, 0.0115814, 0.0112228, 0.0126953, 0.0079422, 0.0108414, 0.00473404, -0.0142059, -0.00555038, 1.00781, -0.00954437, 0.0038929, -0.00717545, -0.0026226, 0.00567245, 1.02051, -0.00160313, 0.0147324, -0.00244331, Idle
-0.00823212, 0.000842571, 1.01074, 1.01074, -0.00559235, 0.00968933, -0.00497437, 7.15256e-06, 8.76188e-06, 0.0078125, 3.93391e-06, 5.78165e-06, 8.34465e-07, 0.0120697, 0.0150681, 0.0126953, 0.0079422, 0.00878143, 0.00450516, -0.0138397, -0.00530624, 1.00684, -0.00962067, 0.00557327, -0.00671768, -0.00176811, 0.009758, 1.01953, -0.00167942, 0.0143509, -0.00221252, Idle
-0.00844574, 0.000664234, 1.01074, 1.01074, -0.00491714, 0.00908661, -0.00484848, 1.19209e-05, 9.05991e-06, 0.00976563, 3.09944e-06, 6.73532e-06, 1.19209e-06, 0.019455, 0.0182343, 0.0561523, 0.00824738, 0.0113754, 0.00640869, -0.0192108, -0.00963593, 0.975098, -0.00962067, 0.00351143, -0.00816345, 0.000243902, 0.00859833, 1.03125, -0.00137424, 0.0148849, -0.00175571, Idle
-0.00772095, 0.000850201, 1.01172, 1.01172, -0.00491333, 0.00985718, -0.00504303, 9.0003e-06, 1.2517e-05, 0.00683594, 3.15905e-06, 5.06639e-06, 1.3113e-06, 0.0140228, 0.0180511, 0.015625, 0.00709534, 0.0104599, 0.00488663, -0.0155487, -0.00835419, 1.00586, -0.00869751, 0.00374031, -0.00732803, -0.00152493, 0.00969696, 1.02148, -0.00160313, 0.0141983, -0.00244331, Idle
-0.00793457, 0.000907898, 1.0127, 1.0127, -0.00497818, 0.00892639, -0.00509644, 1.43647e-05, 1.77026e-05, 0.00292969, 4.17233e-06, 7.09295e-06, 1.66893e-06, 0.0203705, 0.019455, 0.0185547, 0.00839233, 0.010994, 0.00640869, -0.0173798, -0.00902557, 1.00488, -0.0087738, 0.00374031, -0.00831604, 0.00298882, 0.0104294, 1.02344, -0.000381708, 0.0147324, -0.0019083, Idle
-0.00791931, 0.00082016, 1.01172, 1.01172, -0.00531387, 0.0101013, -0.00495148, 1.10269e-05, 1.2517e-05, 0.00585938, 2.92063e-06, 5.1856e-06, 1.19209e-06, 0.0134735, 0.0174408, 0.00976563, 0.0062561, 0.0106888, 0.0052681, -0.0158539, -0.00865936, 1.00977, -0.0088501, 0.00434875, -0.0077095, -0.00237846, 0.00878143, 1.01953, -0.0025959, 0.0150375, -0.00244331, Idle
-0.00785828, 0.000656128, 1.0127, 1.0127, -0.00511551, 0.0101013, -0.00487137, 1.12653e-05, 1.46627e-05, 0.00878906, 2.68221e-06, 7.80821e-06, 8.9407e-07, 0.0153656, 0.0188446, 0.0146484, 0.00709534, 0.012207, 0.0038929, -0.0148163, -0.00920868, 1.00488, -0.00869751, 0.00396729, -0.00671768, 0.00054884, 0.00963593, 1.01953, -0.00160313, 0.0161743, -0.00282478, Idle
-0.00836182, 0.000806332, 1.01172, 1.01172, -0.004776, 0.00914764, -0.00500488, 7.51019e-06, 8.10623e-06, 0.0107422, 3.8147e-06, 6.61612e-06, 7.7486e-07, 0.0135345, 0.0129929, 0.0136719, 0.0113754, 0.0114517, 0.00427628, -0.0150604, -0.00634384, 1.00977, -0.0110703, 0.00305367, -0.00694656, -0.00152493, 0.0066452, 1.02344, 0.000305414, 0.0145035, -0.0026722, Idle
-0.00767899, 0.000627518, 1.01172, 1.01172, -0.00471878, 0.00912476, -0.00507355, 1.09076e-05, 6.31809e-06, 0.00976563, 2.92063e-06, 6.67572e-06, 7.7486e-07, 0.0153656, 0.015007, 0.0283203, 0.0063324, 0.0092392, 0.00465775, -0.0151825, -0.0059166, 0.998047, -0.00839233, 0.00465775, -0.00732803, 0.000182986, 0.00908661, 1.02637, -0.00205994, 0.0138931, -0.0026722, Idle
-0.0440369, -0.0985107, 1.00586, 1.01172, -0.0245361, 0.0151062, -0.0227814, 0.00263596, 0.00110626, 0.000976563, 0.0227203, 0.0540466, 0.0214996, 0.313965, 0.182739, 0.20459, 1.21582, 1.13672, 0.768555, -0.164063, -0.174683, 0.942871, -0.841797, -0.638184, -0.510254, 0.14978, 0.00811005, 1.14746, 0.373535, 0.498291, 0.258057, Idle
-0.0397034, -0.0734253, 1.00781, 1.01465, 0.027298, -0.00769424, 0.0171661, 0.0022831, 0.00243759, 0.00488281, 0.0171661, 0.0377197, 0.00290108, 0.197632, 0.192627, 0.125488, 0.540039, 1.04785, 0.304199, -0.133911, -0.136108, 0.941895, -0.259277, -0.566895, -0.129517, 0.0637207, 0.0565186, 1.06738, 0.280518, 0.480225, 0.174683, Idle
-0.0332947, -0.0221252, 1.00977, 1.0127, -0.000971317, 0.03302, -0.0091095, 0.00247002, 0.000640392, 0.00683594, 0.00772095, 0.0379028, 0.00487518, 0.196655, 0.108582, 0.0786133, 0.370361, 0.980957, 0.282715, -0.117493, -0.0921631, 0.979004, -0.209839, -0.472412, -0.152832, 0.0791626, 0.0164032, 1.05762, 0.1604, 0.508301, 0.129883, Idle
