A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
107.237999	-4.392000	1108.979980	3.832500	-0.358750	0.940625
56.424999	-8.479000	996.252014	-25.427500	-13.440000	-4.720625
76.920998	-24.156000	964.471008	0.017500	-5.245625	-1.540000
6.344000	-2.318000	1112.640015	1.575000	-8.986250	9.795625
7.259000	43.859001	1055.300049	-17.224375	-5.849375	-1.085000
48.129002	2.806000	1035.474976	-8.050000	9.533125	-4.296250
48.007000	-2.196000	993.140991	1.054375	14.083125	-0.415625
33.549999	5.246000	992.775024	3.316250	7.240625	-3.215625
53.192001	-4.087000	961.908997	2.086875	6.523125	-7.555625
67.222000	-2.867000	989.237000	11.935000	2.170000	-5.630625
62.220001	6.344000	1037.549072	10.281250	1.141875	-6.146875
88.206001	-3.538000	1021.627991	2.541875	7.678125	-4.493125
57.827999	5.124000	1017.846008	2.121875	6.352500	1.684375
43.005001	8.479000	1012.600037	4.125625	8.535625	-1.535625
70.577003	17.019001	1010.648010	4.099375	3.360000	-1.015000
37.576000	19.153999	1019.737000	8.820000	-0.008750	-1.093750
68.014999	9.943000	1036.817017	10.591875	1.290625	-2.012500
37.698002	22.570000	1044.807983	1.890000	-0.595000	0.301875
31.354000	26.291000	1033.462036	-2.445625	3.539375	-3.110625
35.319000	27.450001	1053.104004	-1.627500	-0.310625	-3.819375
33.793999	35.257999	1009.489014	-10.329375	7.065625	-5.153750
35.746002	15.677000	986.492004	-5.880000	1.623125	-8.124375
45.018002	7.198000	995.825012	3.040625	-1.933750	-5.525625
25.620001	35.563000	955.565002	2.900625	8.881250	-0.385000
1.098000	30.256001	951.234009	-2.594375	-1.544375	-3.885000
3.172000	25.742001	991.799011	-5.678750	-15.093750	-7.437500
10.248000	27.267000	1008.268982	-0.380625	-6.553750	-6.868750
10.431000	1.159000	997.838013	-8.876875	-6.177500	-10.495625
74.237000	-20.557001	1013.820007	1.723750	-3.386250	-5.368125
55.021999	30.561001	1045.600952	14.284375	-2.248750	5.263125
70.577003	45.993999	1068.842041	14.721875	-2.603125	2.646875
56.852001	80.336998	1102.514038	6.593125	-0.354375	4.733750
57.157001	69.174004	1053.896973	-5.770625	10.583125	1.964375
48.434002	78.385002	1035.230957	0.704375	6.846875	1.855000
43.310001	55.815002	1064.876953	7.205625	3.613750	-2.130625
45.018002	75.884003	1055.848999	1.736875	4.388125	-0.783125
35.563000	87.718002	1028.032959	-7.284375	8.080625	-0.748125
53.497002	70.455002	1007.720032	-4.563125	6.308750	-4.077500
31.659000	49.715000	983.137024	-3.018750	4.125625	3.093125
