Idle
Horizontal
F_B
Vertical
Square
Circle
Triangle
Up
Right
Down
Left
Diagonale_Up_Right
Diagonale_Down_Right
Diagonale_Down_Left
Diagonale_Up_Left
One
Two
Three
Four
Five
Six
Seven
Eight
Nine
Left_&_Right
Up_&_Down
Left_&_Up_&_Right_&_Down
