@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_VAR_on_ACC_X numeric
@attribute F3_PeakToPeak_on_ACC_X numeric
@attribute F4_MIN_on_ACC_X numeric
@attribute F5_MAX_on_ACC_X numeric
@attribute F6_MEAN_on_ACC_Y numeric
@attribute F7_VAR_on_ACC_Y numeric
@attribute F8_PeakToPeak_on_ACC_Y numeric
@attribute F9_MIN_on_ACC_Y numeric
@attribute F10_MAX_on_ACC_Y numeric
@attribute F11_MEAN_on_ACC_Z numeric
@attribute F12_VAR_on_ACC_Z numeric
@attribute F13_PeakToPeak_on_ACC_Z numeric
@attribute F14_MIN_on_ACC_Z numeric
@attribute F15_MAX_on_ACC_Z numeric
@attribute F16_MEAN_on_GY_X numeric
@attribute F17_VAR_on_GY_X numeric
@attribute F18_PeakToPeak_on_GY_X numeric
@attribute F19_MIN_on_GY_X numeric
@attribute F20_MAX_on_GY_X numeric
@attribute F21_MEAN_on_GY_Y numeric
@attribute F22_VAR_on_GY_Y numeric
@attribute F23_PeakToPeak_on_GY_Y numeric
@attribute F24_MIN_on_GY_Y numeric
@attribute F25_MAX_on_GY_Y numeric
@attribute F26_MEAN_on_GY_Z numeric
@attribute F27_VAR_on_GY_Z numeric
@attribute F28_PeakToPeak_on_GY_Z numeric
@attribute F29_MIN_on_GY_Z numeric
@attribute F30_MAX_on_GY_Z numeric
@attribute class {Forward_Backward, Idle, Lateral, Up_Down}

@data
0.0376282, 0.0173798, 0.568848, -0.228149, 0.340332, -0.0333862, 0.00179768, 0.235474, -0.157959, 0.0774536, 1.01563, 0, 0.285156, 0.87793, 1.16309, -0.00355339, 0.0567017, 1.08203, -0.417969, 0.663574, 0.0026207, 0.0654297, 1.30078, -0.462646, 0.837402, -0.0123062, 0.0316162, 0.905273, -0.404053, 0.500977, Forward_Backward
-0.0306091, 0.0285187, 0.710938, -0.345459, 0.365234, -0.0129852, 0.00367928, 0.324951, -0.125, 0.199951, 1.02344, 0.00292969, 0.412598, 0.841309, 1.25391, 0.0233765, 0.0402222, 0.95752, -0.424072, 0.533203, 0.038269, 0.0285492, 0.744629, -0.359619, 0.38501, 0.00467682, 0.0281982, 0.794434, -0.393311, 0.401123, Forward_Backward
-0.079895, 0.0183411, 0.653809, -0.337402, 0.316406, -0.0259247, 0.00216675, 0.253662, -0.156006, 0.0975342, 1.00488, 0.00390625, 0.328613, 0.834473, 1.16309, -0.078064, 0.0606689, 1.37695, -0.914551, 0.462402, 0.019455, 0.0749512, 1.55664, -0.831055, 0.725098, 0.0280151, 0.0177002, 0.666504, -0.324707, 0.341553, Forward_Backward
-0.0142593, 0.019043, 0.583984, -0.292725, 0.29126, -0.0369568, 0.00384903, 0.336182, -0.224976, 0.111206, 1.02637, 0.000976563, 0.490234, 0.745117, 1.23535, 0.0239105, 0.0805664, 1.44922, -0.504883, 0.944336, -0.0392456, 0.0496826, 1.21191, -0.769043, 0.442627, 0.00669098, 0.0412903, 1.04785, -0.541016, 0.506836, Forward_Backward
0.0115051, 0.0192871, 0.558594, -0.238281, 0.320068, -0.0457153, 0.00426865, 0.310547, -0.157227, 0.15332, 1.01563, 0, 0.24707, 0.869141, 1.11621, 0.0113907, 0.134644, 2.18359, -1.06641, 1.11719, 0.0376282, 0.0406189, 0.977539, -0.5, 0.477539, -0.0270538, 0.0369263, 0.949707, -0.359619, 0.589844, Forward_Backward
-0.040863, 0.0239716, 0.618164, -0.351807, 0.266357, -0.0123062, 0.00449371, 0.312256, -0.219604, 0.0925903, 1.02246, 0.000976563, 0.22168, 0.90918, 1.13086, 0.0102234, 0.114807, 1.56836, -0.767578, 0.800781, 0.0264893, 0.0630493, 1.19043, -0.595215, 0.594727, 0.000364065, 0.109009, 1.5625, -0.776855, 0.785156, Forward_Backward
-0.0650024, 0.0187073, 0.563965, -0.31958, 0.244141, 0.0131073, 0.00261497, 0.220337, -0.122803, 0.0975342, 1.02344, 0, 0.316895, 0.83252, 1.14941, -0.0153351, 0.052124, 1.02637, -0.4104, 0.615234, -0.00199127, 0.169434, 2.48828, -1.46484, 1.02344, 0.0113297, 0.0578308, 1.03027, -0.380615, 0.648926, Forward_Backward
-0.047699, 0.0223236, 0.570313, -0.329102, 0.240967, -0.014328, 0.00315475, 0.289795, -0.130005, 0.15979, 1.01758, 0.00488281, 0.299805, 0.873047, 1.17285, -0.0176697, 0.162598, 2.07227, -0.984375, 1.08789, 0.00557327, 0.054657, 1.13672, -0.501953, 0.634277, 0.0135651, 0.0652466, 1.29688, -0.592773, 0.704102, Forward_Backward
0.00512314, 0.016922, 0.544922, -0.264648, 0.280273, -0.00963593, 0.00226212, 0.178101, -0.100647, 0.0773926, 1.02441, 0, 0.418945, 0.785156, 1.2041, -0.00868225, 0.131226, 1.52246, -0.665527, 0.856445, 0.00505447, 0.0609741, 1.18457, -0.661133, 0.523438, -0.0539246, 0.0275269, 0.827637, -0.497314, 0.330078, Forward_Backward
-0.0367432, 0.0157928, 0.540039, -0.301514, 0.238281, -0.0519714, 0.000974655, 0.133789, -0.135742, -0.00201225, 1.01953, 0.000976563, 0.29541, 0.869629, 1.16504, 0.013443, 0.0491943, 1.12793, -0.592773, 0.535156, 0.0385437, 0.074585, 1.4375, -0.450684, 0.986816, 0.0144882, 0.0204926, 0.794922, -0.453857, 0.34082, Forward_Backward
