@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_ACC_V numeric
@attribute F5_MEAN_on_GY_X numeric
@attribute F6_MEAN_on_GY_Y numeric
@attribute F7_MEAN_on_GY_Z numeric
@attribute F8_MEAN_on_GY_V numeric
@attribute F9_VAR_on_ACC_X numeric
@attribute F10_VAR_on_ACC_Y numeric
@attribute F11_VAR_on_ACC_Z numeric
@attribute F12_VAR_on_ACC_V numeric
@attribute F13_VAR_on_GY_X numeric
@attribute F14_VAR_on_GY_Y numeric
@attribute F15_VAR_on_GY_Z numeric
@attribute F16_VAR_on_GY_V numeric
@attribute F17_ENERGY_on_ACC_X numeric
@attribute F18_ENERGY_on_ACC_Y numeric
@attribute F19_ENERGY_on_ACC_Z numeric
@attribute F20_ENERGY_on_ACC_V numeric
@attribute F21_ENERGY_on_GY_X numeric
@attribute F22_ENERGY_on_GY_Y numeric
@attribute F23_ENERGY_on_GY_Z numeric
@attribute F24_ENERGY_on_GY_V numeric
@attribute F25_PeakToPeak_on_ACC_X numeric
@attribute F26_PeakToPeak_on_ACC_Y numeric
@attribute F27_PeakToPeak_on_ACC_Z numeric
@attribute F28_PeakToPeak_on_ACC_V numeric
@attribute F29_PeakToPeak_on_GY_X numeric
@attribute F30_PeakToPeak_on_GY_Y numeric
@attribute F31_PeakToPeak_on_GY_Z numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
-0.0414124, -0.00919342, 0.949219, 0.982422, 0.13501, 0.0562744, -0.105225, 0.865234, 0.0481262, 0.0125809, 0.0283203, 0.0249023, 0.0608826, 0.448975, 0.292969, 0.0878906, 4.03906, 1.02637, 75.3125, 80.25, 6.41016, 36.6563, 24.6406, 67.8125, 0.788574, 0.531738, 0.760742, 0.717285, 1.12598, 2.82422, 1.79492, Circle
-0.0429993, -0.024704, 1.01367, 1.04102, 0.120789, -0.0825806, 0.0257568, 0.858887, 0.0343323, 0.0172424, 0.0195313, 0.0166016, 0.0884399, 0.311279, 0.411377, 0.097168, 2.93359, 1.44727, 84.875, 89.25, 8.35156, 25.7813, 33.4063, 67.6875, 0.690918, 0.489014, 0.883789, 0.779785, 1.35254, 2.30078, 2.47852, Circle
-0.020462, 0.0156021, 1.00977, 1.03906, 0.0760498, 0.0360413, 0.134888, 0.805664, 0.041626, 0.00964355, 0.0234375, 0.0166016, 0.0655518, 0.314453, 0.296143, 0.0527344, 3.4082, 0.801758, 84.5625, 88.875, 5.78516, 25.5938, 25.4688, 56.875, 0.699707, 0.534668, 0.661133, 0.579102, 1.10449, 2.3418, 2.16602, Circle
-0.103638, 0.0194244, 0.982422, 1.01367, 0.106506, 0.137939, 0.00596237, 0.734863, 0.0327148, 0.0114899, 0.0200195, 0.0146484, 0.0465698, 0.309326, 0.208984, 0.0556641, 3.52148, 0.961914, 79.875, 84.5, 4.69531, 26.6094, 16.9375, 48.2813, 0.701172, 0.437012, 0.499023, 0.467773, 1.11328, 2.09961, 1.87012, Circle
-0.0752563, -0.0216827, 0.97998, 1.00391, 0.150146, -0.139404, -0.0939331, 0.837891, 0.0287323, 0.007267, 0.0244141, 0.0205078, 0.131104, 0.325439, 0.31543, 0.12207, 2.78711, 0.626953, 79.8125, 83.375, 12.4531, 27.9531, 26.2813, 66.8125, 0.647461, 0.440918, 0.718262, 0.605469, 1.79395, 2.19141, 1.83594, Circle
-0.0588074, 0.0262451, 1.02441, 1.0498, 0.0792847, -0.0240173, 0.121277, 0.784668, 0.0324402, 0.00926208, 0.0234375, 0.0166016, 0.0916138, 0.269531, 0.301758, 0.0688477, 2.9082, 0.806152, 87, 90.6875, 7.93359, 21.8906, 25.6563, 55.5, 0.666016, 0.510254, 0.768066, 0.681641, 1.34473, 2.08594, 2.04492, Circle
-0.10553, 0.0357666, 0.986816, 1.01758, 0.0960083, 0.178711, 0.0742188, 0.854492, 0.0271912, 0.0163727, 0.0283203, 0.0214844, 0.0916748, 0.346924, 0.313232, 0.0673828, 3.10742, 1.43066, 81.1875, 85.6875, 8.17969, 30.7188, 25.8438, 64.625, 0.606445, 0.585449, 0.617188, 0.562012, 1.34277, 2.375, 2.26172, Circle
-0.00484085, 0.00417328, 1.01563, 1.02051, 0.0131073, -0.0203857, -0.104736, 0.443848, 0.00746536, 0.00304794, 0.00390625, 0.00292969, 0.0653687, 0.22168, 0.163574, 0.264404, 0.606934, 0.248413, 83.875, 84.625, 5.3125, 18, 14.1484, 37.4063, 0.786621, 0.313477, 0.652832, 0.459473, 1.76465, 3.51172, 2.66406, Circle
0.0624084, 0.0135651, 1.0127, 1.01855, 0.00736237, 0.026123, 0.00906372, 0.432129, 0.00413895, 0.0021019, 0.00390625, 0.000976563, 0.0415039, 0.129517, 0.0534363, 0.0385742, 0.651367, 0.185181, 83.4375, 84.125, 3.36914, 10.5547, 4.33984, 18.2656, 0.317383, 0.224487, 0.226074, 0.228027, 1.04785, 1.59766, 1.04297, Circle
0.052002, 0.0671997, 1.0166, 1.02539, 0.0339355, -0.0315552, 0.124817, 0.33667, 0.00775528, 0.00756073, 0.00585938, 0.00976563, 0.0338135, 0.0737915, 0.0500488, 0.0623169, 0.847656, 0.979004, 84.1875, 86.0625, 2.83594, 6.0625, 5.32031, 14.2344, 0.294678, 0.446533, 0.472656, 0.490234, 1.07227, 1.44824, 0.979004, Circle
-0.0269318, 0.0450134, 0.981445, 1.01172, 0.125244, 0.144653, -0.00737762, 1.00195, 0.047821, 0.0124512, 0.0229492, 0.0234375, 0.112854, 0.449463, 0.459229, 0.0527344, 3.93555, 1.17285, 79.9375, 84.875, 10.4219, 38.125, 37.2188, 85.6875, 0.789551, 0.51416, 0.561523, 0.486328, 1.83691, 2.53125, 2.28711, Circle
-0.0664673, -0.0799561, 0.964355, 1.00977, 0.122864, -0.103027, -0.0841675, 0.955566, 0.0580444, 0.0127411, 0.0219727, 0.0146484, 0.118225, 0.45166, 0.395508, 0.0854492, 5.0625, 1.55078, 77.1875, 83.8125, 10.8047, 37.4688, 32.625, 80.9375, 0.937012, 0.492188, 0.665039, 0.572754, 1.49707, 2.70508, 2.45898, Circle
