A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
5.612000	2.806000	1011.257996	-3.158750	-3.963750	-1.251250
9.760000	-2.928000	953.064026	0.931875	-3.080000	-2.738750
16.896999	10.736000	1026.385986	-2.082500	-2.638125	-2.205000
26.596001	12.200000	1030.107056	0.962500	-3.556875	-2.200625
13.664001	10.980000	1013.575989	0.840000	2.270625	1.312500
23.424000	2.440000	1020.164001	-0.043750	0.853125	1.067500
21.410999	-0.976000	1005.829041	1.815625	1.120000	-1.185625
18.056000	-3.172000	1016.687012	-2.629375	0.634375	-0.385000
24.888000	10.675000	1024.006958	-1.028125	0.183750	-0.021875
19.032000	1.342000	1019.249023	0.826875	1.461250	0.100625
23.546000	4.148000	1023.640991	0.818125	-0.770000	-0.179375
18.300001	4.758000	1012.478027	-0.441875	1.264375	0.126875
32.025002	4.392000	1014.918030	-3.718750	-1.128750	-0.284375
27.999001	2.196000	1007.658997	-4.738125	0.756875	-0.083125
21.410999	-4.758000	1013.820007	-3.701250	-1.378125	-1.540000
16.896999	5.490000	1018.517029	-0.507500	-1.938125	-2.598750
28.426001	1.891000	1020.895996	-0.630000	0.345625	-1.688750
25.010000	0.549000	1021.262024	2.152500	1.627500	-0.936250
23.668001	-7.198000	1018.700012	2.034375	0.135625	-0.498750
21.777000	-6.344000	1013.454041	-0.809375	0.266875	0.306250
25.193001	-7.259000	1018.700012	0.511875	0.021875	-1.207500
27.632999	3.599000	1011.197021	-0.424375	-1.085000	-1.496250
33.000999	10.492001	1017.053040	-3.998750	-0.192500	-1.338750
17.263000	-5.002000	1022.421021	-3.959375	-2.454375	-1.771875
27.450001	-7.808000	1022.543030	1.220625	-1.557500	-1.242500
40.077000	-8.357000	1043.405029	1.942500	-0.380625	0.525000
31.964001	-11.346000	1022.848022	1.465625	2.078125	0.319375
26.596001	1.342000	999.241028	-0.713125	2.616250	0.511875
33.000999	-7.381000	992.713989	-1.995000	-0.350000	0.201250
35.136002	7.869000	1012.234009	-1.553125	-2.183125	-1.653750
30.378000	10.309000	1029.130981	-0.896875	-4.558750	-2.594375
37.149002	-0.183000	1027.728027	4.151875	-1.417500	-2.240000
41.114002	5.612000	1013.697998	0.752500	2.073750	-0.813750
37.088001	8.357000	996.557007	1.723750	-0.087500	-2.305625
45.201000	-9.028000	1011.807007	0.533750	-0.914375	-1.916250
44.285999	1.403000	1028.765015	-2.353750	1.102500	-1.767500
26.108000	-10.492001	1011.075012	-3.154375	2.760625	-2.056250
37.453999	-6.588000	1013.148987	-5.805625	0.870625	-0.555625
38.307999	-5.307000	1018.273010	1.881250	0.393750	-0.660625
38.368999	-2.440000	1019.981018	1.649375	0.433125	1.610000
35.319000	-2.074000	1024.494995	2.384375	1.185625	1.102500
35.806999	-2.135000	1008.940002	-2.506875	1.758750	1.754375
37.576000	0.610000	1015.161987	-0.153125	0.634375	0.319375
35.014000	4.392000	1022.543030	0.708750	0.035000	-0.328125
40.077000	4.453000	1018.090027	1.855000	0.345625	1.435000
32.818001	-4.270000	1005.768005	6.343750	0.013125	0.586250
39.101002	5.002000	1005.096985	2.008125	-1.728125	0.678125
51.667000	4.392000	1047.125977	-2.209375	-0.774375	1.378125
35.319000	5.551000	1022.054993	3.395000	2.808750	-0.612500
40.199001	13.542000	1006.561035	-0.761250	1.168125	-0.542500
40.625999	18.239000	1014.918030	-3.775625	1.386875	-0.140000
42.517002	6.344000	1018.090027	2.638125	0.393750	-0.341250
37.820000	9.394000	1019.127014	1.085000	0.608125	1.470000
42.517002	10.919000	1011.624023	-0.385000	1.067500	0.393750
37.942001	7.564000	1018.639038	-1.566250	0.113750	-0.708750
38.063999	10.065001	1024.617065	-4.729375	1.316875	-0.892500
37.881001	5.612000	1019.371033	-3.530625	1.233750	-0.918750
39.161999	2.928000	1024.433960	1.898750	-0.966875	-1.553125
33.184002	13.542000	1015.406006	-1.141875	2.568125	1.763125
29.524000	3.538000	1015.772034	0.503125	2.598750	1.596875
33.367001	-3.660000	1032.119995	0.301875	-0.376250	0.446250
33.428001	-4.514000	1022.054993	2.673125	2.200625	-1.071875
32.208000	7.564000	998.875000	0.100625	2.489375	-0.542500
35.746002	10.126000	994.971008	-3.176250	0.945000	0.975625
38.063999	-1.342000	1022.421021	-0.927500	0.332500	1.268750
30.073000	2.562000	1021.262024	3.819375	-3.539375	0.756875
31.049000	3.233000	1025.348999	5.075000	-0.490000	0.245000
32.818001	15.128000	1011.746033	-4.291875	1.955625	0.227500
37.514999	2.806000	1011.135986	-6.146875	1.238125	-2.051875
36.660999	-0.122000	1007.231995	-0.205625	-0.021875	-2.025625
33.855000	7.320000	1017.114014	2.983750	-1.067500	-0.669375
30.683001	8.662000	1022.481995	1.942500	-1.010625	-0.713125
33.611000	2.928000	1024.800049	-1.513750	1.316875	-0.188125
34.647999	-0.610000	1025.654053	-2.590000	2.401875	1.120000
40.320999	-4.697000	1018.639038	1.386875	1.470000	-0.831250
31.415001	7.442000	1005.036011	-2.603125	-0.135625	-1.120000
32.269001	3.050000	1020.652039	-0.988750	-1.032500	-2.432500
34.647999	3.294000	1025.348999	-0.756875	-0.433125	-1.456875
37.820000	2.196000	1020.286011	0.564375	0.787500	-1.168125
30.256001	0.793000	1012.356018	0.599375	1.658125	-0.988750
40.015999	4.270000	1010.953003	-3.088750	1.111250	-0.656250
29.158001	-4.026000	1017.785034	-0.240625	-0.433125	-1.448125
35.563000	4.026000	1008.085999	-0.376250	1.146250	0.131250
36.844002	-0.549000	1019.614990	-1.833125	0.774375	0.301875
35.380001	-3.172000	1016.138000	-4.873750	-0.822500	-0.691250
39.589001	-11.712000	1025.044067	-4.029375	0.078750	-1.828750
36.050999	-6.100000	1023.213989	0.315000	0.546875	-1.098125
38.003002	5.490000	1017.358032	4.326875	-0.056875	-0.660625
36.112000	6.527000	1009.122986	4.418750	1.286250	-0.643125
33.306000	1.830000	1012.783020	1.828750	0.735000	-0.901250
37.758999	14.457000	1024.006958	-1.610000	0.608125	-0.332500
33.793999	0.000000	1026.630005	1.172500	2.463125	-0.831250
37.637001	-1.098000	1010.892029	1.255625	1.439375	-0.420000
36.234001	4.514000	1010.098999	0.560000	1.561875	-0.805000
34.098999	-2.928000	1018.212036	-1.491875	0.826875	-0.756875
31.110001	1.098000	1023.824036	-0.634375	1.911875	-0.455000
32.085999	3.477000	1013.575989	0.971250	1.846250	-0.288750
31.293001	0.732000	1009.671997	1.141875	0.555625	-0.297500
32.635002	7.198000	1008.695984	-0.371875	1.211875	0.030625
27.267000	10.492001	1024.739014	-1.124375	0.148750	-0.748125
26.657000	3.660000	1020.652039	0.875000	1.010625	-1.268750
28.914000	12.993000	1025.837036	0.511875	1.347500	-0.896875
26.840000	11.468000	1008.817993	-0.323750	0.975625	-0.516250
28.609001	7.686000	1011.989990	-0.463750	1.111250	0.039375
31.903000	2.623000	1022.908997	0.131250	-0.586250	0.853125
25.375999	3.965000	1029.802002	3.062500	1.010625	-0.428750
29.951000	12.383000	1019.187988	-0.896875	0.713125	-0.223125
31.354000	5.368000	1015.772034	-2.651250	2.441250	-0.153125
29.280001	7.015000	1013.454041	-1.316875	0.389375	-0.043750
28.792000	0.610000	1014.552002	1.093750	1.268750	1.308125
28.609001	7.442000	1020.713013	2.961875	-0.105000	0.402500
30.500000	15.921000	1014.918030	1.338750	-0.170625	-0.161875
31.842001	5.856000	1014.552002	-2.813125	0.901250	-0.293125
29.036001	17.263000	1007.720032	-1.815625	0.564375	-0.931875
25.864000	9.699000	1023.031006	0.266875	-1.010625	-0.787500
28.426001	6.832000	1016.809021	0.621250	0.520625	-0.796250
30.927000	2.257000	1013.332031	-0.958125	0.249375	-0.621250
29.402000	7.320000	1018.760986	-0.385000	-0.678125	-0.358750
29.829000	1.342000	1008.147034	-0.367500	0.888125	-0.091875
31.842001	-0.732000	1029.070068	0.625625	-0.533750	-1.526875
31.110001	10.492001	1021.872009	-1.750000	0.157500	-1.653750
37.271000	9.028000	1022.604004	-2.165625	1.977500	-0.516250
32.208000	5.002000	1008.085999	0.621250	1.636250	-0.240625
34.526001	6.344000	1014.796021	-1.242500	1.443750	1.076250
31.293001	-3.355000	1015.833008	-0.148750	0.437500	0.074375
33.306000	3.477000	1017.358032	0.223125	1.067500	-0.590625
35.929001	7.503000	1012.600037	-0.826875	0.446250	-0.301875
31.476000	2.257000	1015.040039	1.723750	-0.245000	-0.262500
27.694000	8.418000	1011.014038	1.981875	0.004375	-1.308125
25.802999	14.213000	1017.663025	-0.748125	-0.984375	-1.951250
38.368999	6.222000	1013.575989	-1.246875	0.306250	-1.636250
27.938000	2.440000	1014.186035	0.726250	0.428750	-1.006250
34.587002	-1.342000	1032.425049	-0.070000	-0.481250	-0.328125
22.631001	-1.525000	1018.639038	3.460625	2.594375	-2.953125
28.182001	18.849001	1011.135986	-1.645000	1.207500	-1.828750
38.979000	23.180000	1004.791992	-4.580625	1.421875	-0.420000
29.889999	9.760000	1009.428040	-0.144375	2.240000	-0.660625
29.646000	3.782000	1019.127014	1.185625	0.700000	-0.048125
22.143000	3.965000	1019.676025	2.585625	0.717500	-0.293125
30.805000	9.638000	1016.869995	0.231875	0.778750	-0.560000
32.452000	17.019001	1010.221008	-1.951250	1.675625	-0.433125
30.743999	8.235000	1016.442993	-0.516250	0.875000	-0.297500
27.632999	9.272000	1018.090027	1.093750	0.735000	-0.030625
24.888000	8.662000	1025.531982	1.334375	0.319375	-0.148750
24.766001	13.542000	1012.721985	0.735000	1.876875	-0.091875
32.513000	13.237000	1013.637024	-1.675625	0.332500	0.148750
25.559000	8.662000	1017.968018	-0.971250	0.345625	-1.548750
22.691999	8.357000	1023.153015	-0.192500	0.682500	-1.338750
31.415001	7.564000	1023.335999	0.805000	1.378125	-0.354375
24.034000	14.579000	1019.187988	1.496250	1.649375	-0.293125
19.032000	7.991000	1009.428040	-0.433125	1.500625	0.813750
26.779001	11.834001	1019.127014	-0.625625	0.647500	0.078750
23.302000	7.991000	1012.234009	0.787500	0.809375	-0.800625
30.622000	13.664001	1021.994019	-1.111250	1.054375	-0.109375
27.877001	11.102000	1008.452026	0.210000	1.456875	-0.048125
26.413000	13.908000	1017.785034	0.503125	0.630000	-0.196875
27.145000	17.507000	1014.674011	0.052500	0.030625	-0.280000
24.583000	8.418000	1016.747986	0.743750	0.673750	-0.161875
20.862000	13.786000	1013.575989	-0.875000	0.227500	-0.021875
23.729000	12.444000	1014.796021	-2.143750	0.021875	0.026250
20.007999	9.638000	1030.900024	0.564375	-0.743750	-1.653750
24.217001	13.664001	1014.918030	-1.185625	1.776250	-0.643125
27.023001	11.285000	1025.531982	-0.428750	0.516250	-0.463750
21.350000	5.612000	1016.565002	0.441875	-0.332500	-0.210000
31.903000	12.322001	1015.772034	-1.478750	1.605625	0.153125
19.947001	5.368000	1015.893982	0.008750	0.157500	-1.299375
24.339001	10.614000	1015.161987	-0.923125	0.284375	-0.380625
35.319000	9.455000	1012.843994	-0.131250	0.052500	-0.752500
24.400000	18.605000	1018.212036	-1.102500	0.091875	-0.923125
19.398001	4.514000	1018.151001	-0.835625	0.056875	-0.905625
28.243000	12.566000	1013.575989	0.861875	0.463750	-0.743750
34.342999	10.492001	1017.601990	-0.538125	-0.892500	-0.752500
