A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
-7.808000	4.880000	1018.944031	-0.188125	0.380625	-0.406875
-2.013000	8.845000	1018.517029	-0.253750	0.638750	-0.223125
-8.967000	11.041000	1018.455994	-0.323750	0.708750	-0.074375
-6.954000	16.042999	1018.090027	-0.293125	0.542500	-0.323750
-7.442000	5.734000	1017.601990	-0.148750	0.533750	-0.371875
-6.954000	12.627000	1017.663025	-0.087500	0.393750	-0.271250
-1.586000	10.492001	1015.650024	-0.398125	0.625625	-0.249375
-1.403000	13.176001	1016.809021	-0.214375	0.695625	-0.306250
-1.708000	6.954000	1017.785034	-0.166250	0.433125	-0.266875
-8.418000	3.233000	1018.333984	-0.192500	0.306250	-0.105000
-7.869000	8.784000	1019.676025	-0.048125	0.437500	-0.192500
-5.002000	11.102000	1017.601990	-0.253750	0.459375	-0.332500
-5.551000	8.052000	1015.040039	-0.385000	0.721875	-0.236250
-4.270000	5.368000	1015.528015	-0.126875	0.472500	-0.371875
-1.342000	4.880000	1017.236023	-0.196875	0.371875	-0.205625
-5.429000	6.710000	1014.796021	-0.385000	0.542500	-0.039375
-0.671000	19.276001	1016.869995	-0.293125	0.450625	-0.170625
-1.098000	12.932000	1015.528015	-0.306250	0.498750	-0.424375
-1.403000	2.318000	1016.504028	-0.284375	0.612500	-0.358750
-9.272000	3.355000	1015.040039	-0.424375	0.529375	-0.157500
-2.562000	13.237000	1016.382019	-0.389375	0.612500	-0.297500
-2.196000	18.177999	1016.869995	-0.214375	0.643125	-0.332500
0.915000	4.880000	1017.236023	-0.376250	0.616875	-0.262500
-3.111000	3.782000	1009.001038	-0.315000	0.542500	-0.385000
-7.930000	14.457000	1014.307983	-0.131250	0.415625	-0.170625
0.671000	19.093000	1019.187988	-0.297500	0.441875	-0.218750
-2.318000	13.420000	1018.944031	-0.170625	0.529375	-0.306250
-4.087000	0.732000	1014.552002	-0.468125	0.686875	-0.481250
-10.736000	3.782000	1015.161987	-0.109375	0.599375	-0.065625
-2.440000	19.886000	1015.772034	-0.253750	0.389375	-0.131250
2.623000	17.812000	1020.408020	-0.262500	0.783125	-0.520625
-8.845000	0.427000	1017.723999	-0.420000	0.923125	-0.651875
-11.224000	-6.832000	1016.015991	-0.275625	0.770000	-0.227500
-6.466000	6.222000	1014.552002	-0.210000	0.310625	-0.078750
3.904000	19.459000	1017.785034	-0.402500	0.630000	-0.301875
-8.601000	12.688000	1018.212036	-0.052500	0.345625	-0.411250
-14.640000	1.098000	1014.552002	-0.402500	0.560000	-0.481250
-7.808000	4.819000	1018.090027	-0.100625	0.468125	-0.113750
3.111000	7.930000	1017.968018	-0.350000	0.446250	-0.231875
0.244000	13.115000	1016.869995	-0.437500	0.647500	-0.297500
-5.612000	4.636000	1020.041992	-0.096250	0.328125	-0.380625
-9.028000	4.636000	1017.968018	-0.490000	0.630000	-0.350000
-4.026000	9.577000	1018.028992	-0.153125	0.490000	-0.223125
-0.366000	13.664001	1018.578003	-0.586250	0.647500	-0.188125
-6.588000	8.784000	1016.869995	-0.389375	0.511875	-0.210000
-7.198000	13.420000	1017.114014	-0.026250	0.643125	-0.306250
-1.525000	6.588000	1015.528015	-0.354375	0.586250	-0.236250
-1.830000	6.344000	1015.161987	-0.214375	0.726250	-0.371875
