@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_VAR_on_ACC_X numeric
@attribute F8_VAR_on_ACC_Z numeric
@attribute F9_VAR_on_GY_Y numeric
@attribute F10_VAR_on_GY_Z numeric
@attribute F11_ENERGY_on_ACC_X numeric
@attribute F12_ENERGY_on_ACC_Y numeric
@attribute F13_ENERGY_on_ACC_Z numeric
@attribute F14_ENERGY_on_GY_X numeric
@attribute F15_ENERGY_on_GY_Y numeric
@attribute F16_ENERGY_on_GY_Z numeric
@attribute F17_PeakToPeak_on_ACC_X numeric
@attribute F18_ZeroCross_on_ACC_X numeric
@attribute F19_ZeroCross_on_ACC_Y numeric
@attribute F20_ZeroCross_on_ACC_Z numeric
@attribute F21_ZeroCross_on_GY_X numeric
@attribute F22_ZeroCross_on_GY_Y numeric
@attribute F23_ZeroCross_on_GY_Z numeric
@attribute F24_PeaKDet_on_ACC_X numeric
@attribute F25_PeaKDet_on_ACC_Y numeric
@attribute F26_PeaKDet_on_ACC_Z numeric
@attribute F27_PeaKDet_on_GY_X numeric
@attribute F28_PeaKDet_on_GY_Z numeric
@attribute F29_MIN_on_ACC_X numeric
@attribute F30_MIN_on_ACC_Z numeric
@attribute F31_MAX_on_GY_Z numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
-0.020462, 0.0156021, 1.00977, 0.0760498, 0.0360413, 0.134888, 0.041626, 0.0234375, 0.314453, 0.296143, 3.4082, 0.801758, 84.5625, 5.78516, 25.5938, 25.4688, 0.699707, 8, 34, 28, 30, 14, 12, 55, 45, 51, 40, 41, -0.406738, 0.643555, 1.07617, Circle
-0.103638, 0.0194244, 0.982422, 0.106506, 0.137939, 0.00596237, 0.0327148, 0.0200195, 0.309326, 0.208984, 3.52148, 0.961914, 79.875, 4.69531, 26.6094, 16.9375, 0.701172, 18, 18, 30, 36, 16, 18, 53, 49, 57, 48, 44, -0.422852, 0.739258, 1.04004, Circle
-0.0752563, -0.0216827, 0.97998, 0.150146, -0.139404, -0.0939331, 0.0287323, 0.0244141, 0.325439, 0.31543, 2.78711, 0.626953, 79.8125, 12.4531, 27.9531, 26.2813, 0.647461, 18, 22, 14, 22, 14, 10, 56, 45, 53, 45, 45, -0.45166, 0.543457, 0.637695, Circle
-0.0588074, 0.0262451, 1.02441, 0.0792847, -0.0240173, 0.121277, 0.0324402, 0.0234375, 0.269531, 0.301758, 2.9082, 0.806152, 87, 7.93359, 21.8906, 25.6563, 0.666016, 12, 28, 26, 30, 30, 4, 46, 52, 55, 41, 38, -0.43335, 0.566895, 0.874023, Circle
-0.10553, 0.0357666, 0.986816, 0.0960083, 0.178711, 0.0742188, 0.0271912, 0.0283203, 0.346924, 0.313232, 3.10742, 1.43066, 81.1875, 8.17969, 30.7188, 25.8438, 0.606445, 22, 14, 34, 32, 12, 6, 56, 43, 55, 51, 50, -0.422119, 0.650391, 1.06836, Circle
-0.00484085, 0.00417328, 1.01563, 0.0131073, -0.0203857, -0.104736, 0.00746536, 0.00390625, 0.22168, 0.163574, 0.606934, 0.248413, 83.875, 5.3125, 18, 14.1484, 0.786621, 42, 56, 0, 68, 46, 26, 44, 47, 55, 46, 33, -0.519531, 0.633301, 0.574707, Circle
0.0624084, 0.0135651, 1.0127, 0.00736237, 0.026123, 0.00906372, 0.00413895, 0.00390625, 0.129517, 0.0534363, 0.651367, 0.185181, 83.4375, 3.36914, 10.5547, 4.33984, 0.317383, 26, 40, 72, 48, 48, 32, 47, 49, 51, 38, 39, -0.0864868, 0.902832, 0.635254, Circle
0.052002, 0.0671997, 1.0166, 0.0339355, -0.0315552, 0.124817, 0.00775528, 0.00585938, 0.0737915, 0.0500488, 0.847656, 0.979004, 84.1875, 2.83594, 6.0625, 5.32031, 0.294678, 6, 30, 42, 38, 52, 34, 50, 39, 48, 37, 33, -0.0674438, 0.744141, 0.796387, Circle
-0.0269318, 0.0450134, 0.981445, 0.125244, 0.144653, -0.00737762, 0.047821, 0.0229492, 0.449463, 0.459229, 3.93555, 1.17285, 79.9375, 10.4219, 38.125, 37.2188, 0.789551, 14, 34, 26, 26, 16, 10, 50, 49, 54, 37, 39, -0.443848, 0.646484, 1.04492, Circle
-0.0664673, -0.0799561, 0.964355, 0.122864, -0.103027, -0.0841675, 0.0580444, 0.0219727, 0.45166, 0.395508, 5.0625, 1.55078, 77.1875, 10.8047, 37.4688, 32.625, 0.937012, 8, 20, 22, 30, 24, 14, 58, 45, 51, 39, 33, -0.49292, 0.595703, 1.29199, Circle
-0.0666504, -0.0772705, 0.958984, 0.182373, -0.154297, 0.0310364, 0.102417, 0.0283203, 0.581055, 0.355225, 8.66406, 1.93457, 76.8125, 7.76172, 49.0313, 28.875, 1.07813, 10, 12, 24, 34, 18, 4, 57, 49, 46, 43, 44, -0.635254, 0.611328, 1.12598, Circle
0.0783691, -0.108215, 0.983887, 0.0977783, 0.046051, 0.0958862, 0.0607605, 0.00390625, 0.311768, 0.294434, 5.42188, 1.60352, 78.8125, 5.58594, 25.4531, 24.6094, 0.860352, 8, 32, 14, 42, 30, 4, 53, 49, 43, 42, 30, -0.380615, 0.781738, 0.992676, Circle
-0.00556564, -0.102905, 1, 0.110962, 0.051178, 0.106384, 0.0515747, 0.0175781, 0.376465, 0.330811, 4.18359, 1.79492, 82.5, 5.14063, 30.7344, 27.7188, 0.878906, 12, 22, 34, 58, 18, 16, 55, 53, 55, 42, 47, -0.486328, 0.64502, 1.06055, Circle
-0.109375, -0.0845947, 0.947754, 0.205078, 0.0929565, -0.0350037, 0.0655518, 0.019043, 0.466064, 0.290039, 6.28516, 1.86328, 74.375, 11.0391, 38.4688, 23.6094, 0.793457, 4, 20, 18, 24, 16, 10, 52, 48, 55, 41, 33, -0.499756, 0.620117, 0.962402, Circle
-0.0730591, -0.0939941, 0.938477, 0.160645, -0.0438843, -0.0985718, 0.0762939, 0.0249023, 0.337402, 0.354492, 6.61328, 3.00586, 73.4375, 7.60156, 27.5, 29.5313, 0.933105, 8, 16, 24, 44, 22, 20, 47, 50, 43, 41, 33, -0.575684, 0.628906, 1.08203, Circle
-0.0558472, -0.112305, 0.978516, 0.0386658, -0.10553, -0.0399475, 0.0469971, 0.0185547, 0.351074, 0.260498, 4.0625, 1.74121, 79.125, 8.46094, 29.3594, 21.25, 0.835449, 18, 42, 34, 40, 24, 20, 53, 53, 54, 36, 40, -0.45752, 0.710449, 1.13281, Circle
-0.0539856, -0.12915, 0.995605, 0.103516, -0.0623474, 0.0119476, 0.0427551, 0.0175781, 0.257324, 0.22522, 3.70117, 2.80273, 81.75, 11.4141, 21.1719, 18.2656, 0.765137, 14, 32, 28, 46, 32, 10, 55, 54, 51, 38, 43, -0.47168, 0.717773, 1.11133, Circle
-0.0358887, -0.0734253, 0.999512, 0.0803223, -0.0418091, 0.0339966, 0.0466309, 0.015625, 0.289551, 0.233643, 3.88281, 1.13867, 82.25, 5.5, 23.6094, 19.0313, 0.762207, 16, 44, 32, 54, 16, 28, 52, 56, 54, 47, 42, -0.426758, 0.705078, 1.11914, Circle
-0.067627, -0.0777588, 0.982422, 0.10498, -0.0326538, 0.0607605, 0.0570068, 0.0107422, 0.260742, 0.254395, 4.99219, 1.17285, 79.125, 6.12891, 21.2188, 20.9219, 0.885254, 12, 40, 48, 40, 14, 20, 60, 54, 54, 46, 44, -0.55127, 0.662109, 0.956055, Circle
-0.0496826, -0.0646973, 0.996094, 0.0939331, 0.0343018, 0.0559082, 0.0481262, 0.0146484, 0.250977, 0.243896, 4.10156, 1.29199, 81.625, 8.85938, 20.4375, 20.0313, 0.79541, 20, 30, 30, 38, 26, 12, 55, 57, 57, 37, 47, -0.446045, 0.754883, 1.02539, Circle
-0.0969238, -0.0722046, 0.986816, 0.0604858, 0.0431824, 0.0510254, 0.0438843, 0.015625, 0.301758, 0.172729, 4.32031, 1.1875, 80.1875, 6.94922, 24.6094, 14.2109, 0.765625, 14, 20, 14, 24, 12, 22, 61, 53, 51, 38, 44, -0.465576, 0.733887, 0.931152, Circle
-0.126587, -0.0786133, 0.95459, 0.165161, 0.0292816, -0.0632324, 0.0474548, 0.0234375, 0.294922, 0.313477, 5.14453, 1.20801, 75.75, 9.10156, 23.9688, 25.7188, 0.808594, 20, 36, 36, 20, 18, 12, 61, 46, 47, 41, 48, -0.442139, 0.697754, 1.10645, Circle
-0.118652, -0.0900879, 0.965332, 0.0916748, -0.115479, -0.0541687, 0.0432739, 0.0200195, 0.306641, 0.287109, 4.64844, 1.66504, 77.125, 7.94531, 25.9375, 23.5156, 0.719238, 14, 28, 18, 38, 28, 8, 54, 51, 58, 40, 43, -0.493164, 0.668457, 1.10156, Circle
-0.0841064, -0.140625, 0.993164, 0.0372009, -0.0535278, 0.0127945, 0.0427551, 0.0195313, 0.270508, 0.214478, 4.03906, 2.61523, 81.5625, 7.91406, 22.1563, 17.3906, 0.802734, 12, 32, 20, 38, 22, 30, 50, 53, 54, 35, 40, -0.528809, 0.62793, 1.02246, Circle
-0.00396347, 0.0031929, 1.01465, 0.0144119, -0.0220032, -0.0999756, 0.00374031, 0.000976563, 0.0977173, 0.127563, 0.304443, 0.107239, 83.5, 2.32617, 7.96094, 11.1563, 0.378906, 8, 12, 0, 36, 32, 18, 22, 46, 31, 31, 17, -0.183838, 0.852051, 0.372559, Circle
0.0606689, 0.0168152, 1.01172, 0.0075531, 0.0262909, 0.00327682, 0.00284195, 0.00390625, 0.0603027, 0.0406799, 0.528809, 0.116577, 83.25, 1.5625, 4.94531, 3.29688, 0.220093, 6, 18, 26, 32, 28, 14, 26, 18, 33, 22, 22, -0.0350647, 0.952148, 0.545898, Circle
0.0563965, 0.0678101, 1.02246, 0.0254517, -0.0167694, 0.141724, 0.00730896, 0, 0.0602112, 0.0501709, 0.850586, 0.833008, 84.625, 1.83594, 4.90234, 5.69531, 0.266357, 2, 16, 30, 22, 22, 26, 33, 27, 20, 19, 19, -0.0492554, 0.833496, 0.763184, Circle
-0.0362854, 0.0428162, 0.973633, 0.139893, 0.129272, -0.0357666, 0.0450745, 0.0229492, 0.394287, 0.432129, 3.75977, 0.963867, 78.6875, 7.55078, 33.3125, 35.125, 0.629883, 6, 14, 14, 14, 6, 6, 22, 30, 32, 21, 13, -0.318848, 0.735352, 0.958496, Circle
-0.0608215, -0.0842896, 0.967773, 0.119019, -0.119141, -0.0649414, 0.0525818, 0.0205078, 0.397949, 0.353516, 4.5625, 1.45996, 77.5625, 7.46484, 33.4063, 29, 0.769531, 6, 4, 14, 12, 12, 6, 29, 23, 22, 23, 15, -0.432617, 0.655273, 1.0498, Circle
-0.0588074, -0.0750122, 0.960938, 0.183472, -0.133667, 0.0362854, 0.10321, 0.0229492, 0.524902, 0.333984, 8.64844, 1.70898, 76.6875, 6.22656, 44.0313, 27.1719, 0.980469, 4, 8, 12, 12, 10, 4, 23, 28, 17, 26, 22, -0.562012, 0.635254, 0.979004, Circle
0.0740967, -0.110535, 0.986816, 0.0955811, 0.0412903, 0.0927734, 0.0561523, 0.00244141, 0.27124, 0.272217, 4.99609, 1.53418, 79.125, 3.27148, 22.125, 22.75, 0.757813, 4, 8, 8, 14, 20, 4, 24, 29, 32, 31, 26, -0.315186, 0.810059, 0.955566, Circle
-0.0126953, -0.0999756, 0.996094, 0.113342, 0.0794067, 0.106384, 0.0470581, 0.015625, 0.339111, 0.303467, 3.82617, 1.59863, 81.6875, 3.36328, 28, 25.5, 0.683105, 6, 10, 14, 20, 6, 8, 30, 25, 23, 33, 25, -0.379395, 0.685547, 0.958984, Circle
-0.114685, -0.0830688, 0.945313, 0.203369, 0.0714722, -0.0492554, 0.0654907, 0.0141602, 0.408936, 0.26709, 6.37109, 1.69141, 73.5625, 8.78906, 33.5625, 21.8438, 0.728516, 4, 12, 8, 12, 8, 6, 24, 25, 26, 22, 20, -0.475342, 0.660645, 0.863281, Circle
-0.0703125, -0.0966187, 0.942871, 0.15625, -0.0523682, -0.10321, 0.0703735, 0.0175781, 0.293945, 0.315674, 6.10547, 2.83789, 73.5, 5.74609, 24.0469, 26.4531, 0.833008, 4, 8, 8, 14, 18, 8, 25, 21, 27, 22, 20, -0.505859, 0.726563, 0.870605, Circle
-0.0514221, -0.116333, 0.984863, 0.0375671, -0.108215, -0.039093, 0.0413818, 0.0102539, 0.30835, 0.230835, 3.57031, 1.72168, 79.4375, 5.42188, 25.9375, 18.8438, 0.702148, 6, 18, 6, 20, 8, 4, 30, 33, 26, 17, 20, -0.437256, 0.772461, 0.904297, Circle
-0.0520325, -0.127563, 0.99707, 0.107849, -0.0574341, 0.0259552, 0.0397949, 0.0107422, 0.216064, 0.196167, 3.44531, 2.55078, 81.4375, 7.61328, 17.7813, 15.9609, 0.654297, 6, 8, 4, 18, 12, 6, 33, 31, 29, 19, 31, -0.407715, 0.755859, 0.945313, Circle
-0.0329285, -0.0726318, 0.994629, 0.0812378, -0.0386658, 0.0393982, 0.0431213, 0.0146484, 0.243286, 0.205811, 3.58398, 0.992676, 81.375, 3.39648, 19.8438, 16.8125, 0.681152, 4, 20, 22, 28, 12, 8, 24, 32, 34, 24, 19, -0.380127, 0.721191, 1.04785, Circle
-0.0681152, -0.0761108, 0.982422, 0.105835, -0.0290375, 0.0626221, 0.0533752, 0.0136719, 0.236084, 0.234497, 4.70313, 0.939941, 79.375, 4.36328, 19.2031, 19.3281, 0.728027, 4, 8, 18, 20, 6, 4, 32, 34, 36, 29, 22, -0.472412, 0.701172, 0.78418, Circle
-0.053772, -0.0628052, 0.995605, 0.0953369, 0.0440063, 0.0540771, 0.0438843, 0.0126953, 0.230347, 0.218994, 3.79297, 1.11914, 81.375, 6.35938, 18.8281, 17.9844, 0.734863, 8, 10, 4, 20, 4, 4, 23, 28, 29, 26, 22, -0.412109, 0.790039, 0.905762, Circle
-0.098999, -0.0732422, 0.98291, 0.0600891, 0.0426636, 0.0388794, 0.0410461, 0.0146484, 0.2771, 0.15271, 4.12109, 1.05176, 79.5, 4.97656, 22.6094, 12.5, 0.666016, 6, 4, 10, 16, 8, 6, 34, 27, 27, 20, 22, -0.442871, 0.783203, 0.754883, Circle
-0.130737, -0.0795288, 0.953125, 0.162842, 0.00894928, -0.0736084, 0.0440674, 0.0180664, 0.25415, 0.29541, 4.95703, 1.01563, 75.125, 7.03906, 20.5938, 24.375, 0.625977, 8, 14, 8, 12, 10, 8, 30, 24, 31, 30, 26, -0.40918, 0.734863, 0.94873, Circle
-0.111816, -0.0922241, 0.968262, 0.0892944, -0.120789, -0.0396118, 0.0389404, 0.0161133, 0.27417, 0.259766, 4.17188, 1.54688, 77.3125, 5.10156, 23.4063, 21.1719, 0.645508, 6, 12, 6, 14, 12, 4, 24, 33, 36, 30, 19, -0.469727, 0.743164, 0.869141, Circle
-0.081604, -0.139404, 0.992188, 0.0424805, -0.0434265, 0.0197754, 0.0400085, 0.015625, 0.215454, 0.177734, 3.7832, 2.36328, 81.0625, 5.14063, 17.6094, 14.4375, 0.625488, 4, 12, 4, 18, 12, 14, 18, 26, 38, 25, 23, -0.439453, 0.760254, 0.879395, Circle
-0.0031662, 0.00286102, 1.01465, 0.0141449, -0.0249939, -0.102173, 0.00222969, 0, 0.0474548, 0.0797729, 0.181519, 0.0692139, 83.4375, 1.01758, 3.89648, 7.3125, 0.240234, 8, 8, 0, 20, 22, 22, 24, 34, 25, 28, 19, -0.100098, 0.90332, 0.251709, Circle
0.0603943, 0.0204468, 1.01465, 0.00865936, 0.0283813, 0.00503159, 0.00200653, 0, 0.0246429, 0.0328369, 0.458252, 0.107239, 83.1875, 0.646973, 2.0625, 2.66406, 0.186035, 4, 18, 24, 20, 10, 12, 17, 20, 29, 20, 17, -0.0183105, 0.98584, 0.459961, Circle
0.0591736, 0.0671387, 1.02441, 0.0167236, -0.000620365, 0.156372, 0.00714111, 0, 0.0490417, 0.0484314, 0.862793, 0.60498, 85.0625, 0.967285, 3.97461, 5.90625, 0.242798, 2, 8, 14, 16, 16, 10, 26, 19, 32, 14, 19, -0.0406189, 0.897949, 0.64209, Circle
-0.0463867, 0.0405579, 0.966309, 0.156738, 0.102539, -0.0717773, 0.0424194, 0.0209961, 0.353027, 0.408203, 3.61133, 0.824219, 77.375, 5.40234, 29.4688, 33.5, 0.609375, 6, 14, 6, 10, 6, 6, 13, 20, 21, 21, 10, -0.310303, 0.74707, 0.914063, Circle
-0.0515137, -0.0896606, 0.973145, 0.115479, -0.125244, -0.0328979, 0.0490417, 0.0185547, 0.36499, 0.316406, 4.19141, 1.45801, 78.25, 5.05078, 30.8594, 25.7344, 0.682617, 6, 4, 10, 12, 8, 6, 14, 15, 12, 21, 13, -0.410645, 0.686035, 0.896973, Circle
-0.0514526, -0.0717773, 0.957031, 0.181763, -0.123108, 0.0351257, 0.104858, 0.0239258, 0.484863, 0.314697, 8.71094, 1.50977, 76.1875, 5.09766, 40.5313, 25.6094, 0.966309, 4, 8, 4, 8, 8, 4, 10, 19, 18, 25, 14, -0.537109, 0.666504, 0.899902, Circle
0.0683594, -0.111694, 0.986328, 0.097229, 0.0506897, 0.0988159, 0.051239, 0.00585938, 0.245117, 0.257568, 4.53125, 1.48535, 79.3125, 2.48633, 20.0781, 21.6719, 0.744141, 4, 4, 4, 12, 6, 4, 25, 19, 21, 23, 16, -0.303711, 0.826172, 0.706543, Circle
-0.0241699, -0.0969238, 0.993164, 0.119995, 0.102844, 0.0931396, 0.0445862, 0.00976563, 0.329834, 0.275635, 3.66016, 1.47656, 80.75, 2.76563, 27.5781, 23.0625, 0.637207, 6, 6, 6, 20, 4, 4, 16, 14, 16, 25, 17, -0.354492, 0.727539, 0.84375, Circle
-0.119629, -0.0825806, 0.939941, 0.20105, 0.043457, -0.0720215, 0.065918, 0.0180664, 0.358398, 0.253174, 6.5, 1.58789, 73.0625, 7.10938, 29.2188, 20.9375, 0.699219, 4, 4, 4, 12, 6, 6, 14, 15, 24, 22, 8, -0.455566, 0.700684, 0.724121, Circle
-0.0647583, -0.0988159, 0.946777, 0.149658, -0.0650024, -0.0953369, 0.0643311, 0.0112305, 0.273682, 0.279053, 5.55469, 2.70898, 73.5625, 4.45313, 22.5156, 23.3594, 0.77002, 4, 6, 4, 10, 4, 4, 13, 14, 23, 20, 23, -0.488281, 0.758301, 0.788574, Circle
-0.0447693, -0.121033, 0.988281, 0.0357971, -0.109009, -0.0391846, 0.0376587, 0.0112305, 0.277588, 0.214111, 3.21484, 1.75, 80.0625, 3.10938, 23.4688, 17.4844, 0.610352, 6, 14, 6, 8, 4, 4, 16, 19, 28, 17, 14, -0.36792, 0.786133, 0.822266, Circle
-0.050354, -0.124695, 0.99707, 0.110962, -0.051239, 0.0422058, 0.038269, 0.00976563, 0.187744, 0.170898, 3.30859, 2.34961, 81.375, 5.41797, 15.4219, 14, 0.599121, 4, 4, 4, 14, 4, 6, 12, 14, 25, 21, 13, -0.387451, 0.77002, 0.816406, Circle
-0.0294189, -0.0733643, 0.993652, 0.0808105, -0.0335388, 0.0474548, 0.0420227, 0.0136719, 0.211182, 0.191284, 3.47461, 0.952148, 81.125, 2.69531, 17.2031, 15.6797, 0.597656, 4, 4, 8, 22, 8, 4, 15, 17, 26, 30, 13, -0.363525, 0.763184, 0.739746, Circle
-0.0696411, -0.072876, 0.982422, 0.105469, -0.0200195, 0.0618286, 0.0506592, 0.0146484, 0.21936, 0.219604, 4.5, 0.80957, 79.4375, 3.71875, 17.8125, 18.1094, 0.676758, 4, 4, 4, 8, 6, 4, 14, 31, 30, 21, 19, -0.443604, 0.745117, 0.698242, Circle
-0.0593567, -0.061554, 0.994629, 0.0952148, 0.0591736, 0.0505371, 0.0405273, 0.015625, 0.225464, 0.199585, 3.57031, 1.02344, 81.4375, 4.78906, 18.5625, 16.3906, 0.663086, 4, 6, 4, 20, 4, 4, 4, 24, 28, 24, 18, -0.384766, 0.817871, 0.757324, Circle
-0.103516, -0.0748901, 0.979004, 0.0684204, 0.0385437, 0.0223694, 0.0397949, 0.00830078, 0.255127, 0.138428, 4.09375, 0.95752, 78.375, 3.87695, 20.7969, 11.2578, 0.61377, 4, 4, 6, 16, 8, 6, 16, 17, 18, 22, 12, -0.410645, 0.789551, 0.654785, Circle
-0.13147, -0.0805054, 0.953613, 0.1604, -0.0209198, -0.0817871, 0.0422363, 0.019043, 0.219849, 0.287109, 4.82422, 0.937988, 75.25, 6.01953, 17.8594, 23.8125, 0.575195, 4, 6, 4, 8, 6, 4, 23, 24, 17, 22, 15, -0.397705, 0.772461, 0.919434, Circle
-0.102173, -0.093811, 0.975586, 0.0811768, -0.117798, -0.0263367, 0.0364685, 0.0126953, 0.248535, 0.235596, 3.80273, 1.48242, 78.1875, 3.32227, 21.2656, 19.1563, 0.615234, 6, 4, 6, 6, 4, 4, 10, 21, 28, 28, 6, -0.453857, 0.771484, 0.835449, Circle
-0.0784302, -0.139038, 0.992188, 0.043457, -0.0408325, 0.0350647, 0.0394592, 0.0126953, 0.187256, 0.153809, 3.69727, 2.22461, 80.8125, 3.44727, 15.3203, 12.5703, 0.622559, 4, 8, 4, 14, 8, 6, 10, 15, 36, 15, 10, -0.419434, 0.787109, 0.729492, Circle
-0.00136471, 0.00387573, 1.01074, 0.0155869, -0.0329285, -0.112549, 0.000785828, 0.00683594, 0.00762939, 0.0316467, 0.0638428, 0.0461731, 83.375, 0.365234, 0.706543, 3.5918, 0.116821, 8, 6, 0, 14, 22, 6, 21, 28, 29, 34, 13, -0.0612488, 0.975098, 0.141724, Circle
