AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
-5.246000	-4.209000	1009.001038	0.883750	-2.200625	0.000000
00-63.562000	27.084000	927.871033	0.336875	0.778750	8.421875
6.710000	35.746002	934.825012	-0.266875	0.599375	16.498125
0-7.930000	-1.708000	1011.989990	-0.398125	0.490000	-0.188125
-5.917000	-2.928000	998.509033	-0.376250	0.542500	0.258125
00-1.647000	-2.440000	1014.186035	-0.275625	0.420000	-0.24062-2.867000	-3.172000	1013.210022	-0.433125	0.835625	-0.2187-7.320000	-0.915000	1019.005005	-0.105000	0.472500	-0.2450-8.723001	-0.244000	1019.737000	-0.245000	0.581875	-0.31937-6.832000	0.732000	1011.502014	-0.043750	0.713125	-0.175000-3.721000	-6.893000	1016.626038	-0.231875	0.494375	-0.301875-6.954000	1.708000	1013.820007	-0.043750	0.651875	-0.280000
-3.904000	-0.854000	1013.088013	-0.175000	0.682500	-0.258125
0-8.540000	1.098000	1014.674011	-0.297500	0.363125	-0.275625
-5.917000	-1.586000	1013.575989	-0.428750	0.743750	-0.262500
0-2.257000	-6.405000	1013.575989	-0.385000	0.778750	-0.33250-5.978000	0.671000	1012.112000	-0.367500	0.446250	-0.481250-5.002000	-4.453000	1016.869995	-0.380625	0.494375	-0.19687-8.052000	-3.111000	1016.015991	-0.048125	0.380625	-0.40250-6.100000	1.586000	1016.260010	-0.201250	0.739375	-0.25812-6.100000	-11.590000	1016.992004	-0.262500	0.581875	-0.192-5.124000	3.843000	1017.723999	-0.218750	0.249375	-0.5031-2.135000	-8.052000	1013.454041	-0.376250	0.791875	-0.4462-5.917000	-4.880000	1012.416992	-0.288750	0.402500	-0.15312-1.525000	-2.806000	1017.663025	-0.262500	0.586250	-0.37625-10.614000	-4.453000	1019.249023	-0.376250	0.538125	-0.301-5.978000	-3.965000	1012.783020	-0.231875	0.511875	-0.16-5.917000	-0.061000	1014.307983	-0.525000	0.485625	-0.35-7.808-3.66000-5---4.697000-7.198000	1.098000	1016.442993	---4---3-6.832000	-9.760000	-2.--5-7.56400--
