@relation 'MLC'

@attribute F1_ENERGY_on_ACC_X numeric
@attribute F2_ENERGY_on_ACC_Y numeric
@attribute F3_ENERGY_on_ACC_Z numeric
@attribute F4_ENERGY_on_GY_X numeric
@attribute F5_ENERGY_on_GY_Y numeric
@attribute F6_ENERGY_on_GY_Z numeric
@attribute F7_ZeroCross_on_ACC_X numeric
@attribute F8_ZeroCross_on_ACC_Y numeric
@attribute F9_ZeroCross_on_ACC_Z numeric
@attribute F10_ZeroCross_on_GY_X numeric
@attribute F11_ZeroCross_on_GY_Y numeric
@attribute F12_ZeroCross_on_GY_Z numeric
@attribute F13_PositiveZeroCross_on_ACC_X numeric
@attribute F14_PositiveZeroCross_on_ACC_Y numeric
@attribute F15_PositiveZeroCross_on_ACC_Z numeric
@attribute F16_PositiveZeroCross_on_GY_X numeric
@attribute F17_PositiveZeroCross_on_GY_Y numeric
@attribute F18_PositiveZeroCross_on_GY_Z numeric
@attribute F19_NegativeZeroCross_on_ACC_X numeric
@attribute F20_NegativeZeroCross_on_ACC_Y numeric
@attribute F21_NegativeZeroCross_on_ACC_Z numeric
@attribute F22_NegativeZeroCross_on_GY_X numeric
@attribute F23_NegativeZeroCross_on_GY_Y numeric
@attribute F24_NegativeZeroCross_on_GY_Z numeric
@attribute F25_PeaKDet_on_ACC_X numeric
@attribute F26_PeaKDet_on_ACC_Y numeric
@attribute F27_PeaKDet_on_ACC_Z numeric
@attribute F28_PeaKDet_on_GY_X numeric
@attribute F29_PeaKDet_on_GY_Y numeric
@attribute F30_PeaKDet_on_GY_Z numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
0.847656, 0.979004, 84.1875, 2.83594, 6.0625, 5.32031, 6, 30, 42, 38, 52, 34, 4, 16, 24, 20, 26, 18, 2, 14, 18, 18, 26, 16, 50, 39, 48, 37, 39, 33, Circle
3.93555, 1.17285, 79.9375, 10.4219, 38.125, 37.2188, 14, 34, 26, 26, 16, 10, 6, 16, 12, 14, 8, 4, 8, 18, 14, 12, 8, 6, 50, 49, 54, 37, 40, 39, Circle
5.0625, 1.55078, 77.1875, 10.8047, 37.4688, 32.625, 8, 20, 22, 30, 24, 14, 4, 10, 12, 14, 12, 8, 4, 10, 10, 16, 12, 6, 58, 45, 51, 39, 45, 33, Circle
8.66406, 1.93457, 76.8125, 7.76172, 49.0313, 28.875, 10, 12, 24, 34, 18, 4, 6, 6, 12, 18, 8, 2, 4, 6, 12, 16, 10, 2, 57, 49, 46, 43, 39, 44, Circle
5.42188, 1.60352, 78.8125, 5.58594, 25.4531, 24.6094, 8, 32, 14, 42, 30, 4, 4, 16, 8, 20, 16, 2, 4, 16, 6, 22, 14, 2, 53, 49, 43, 42, 44, 30, Circle
4.18359, 1.79492, 82.5, 5.14063, 30.7344, 27.7188, 12, 22, 34, 58, 18, 16, 6, 12, 18, 30, 8, 8, 6, 10, 16, 28, 10, 8, 55, 53, 55, 42, 49, 47, Circle
6.28516, 1.86328, 74.375, 11.0391, 38.4688, 23.6094, 4, 20, 18, 24, 16, 10, 2, 10, 8, 12, 8, 4, 2, 10, 10, 12, 8, 6, 52, 48, 55, 41, 52, 33, Circle
6.61328, 3.00586, 73.4375, 7.60156, 27.5, 29.5313, 8, 16, 24, 44, 22, 20, 4, 8, 12, 22, 10, 10, 4, 8, 12, 22, 12, 10, 47, 50, 43, 41, 44, 33, Circle
4.0625, 1.74121, 79.125, 8.46094, 29.3594, 21.25, 18, 42, 34, 40, 24, 20, 10, 20, 18, 20, 12, 10, 8, 22, 16, 20, 12, 10, 53, 53, 54, 36, 47, 40, Circle
3.70117, 2.80273, 81.75, 11.4141, 21.1719, 18.2656, 14, 32, 28, 46, 32, 10, 8, 16, 14, 24, 16, 6, 6, 16, 14, 22, 16, 4, 55, 54, 51, 38, 46, 43, Circle
3.88281, 1.13867, 82.25, 5.5, 23.6094, 19.0313, 16, 44, 32, 54, 16, 28, 8, 22, 16, 26, 8, 14, 8, 22, 16, 28, 8, 14, 52, 56, 54, 47, 42, 42, Circle
4.99219, 1.17285, 79.125, 6.12891, 21.2188, 20.9219, 12, 40, 48, 40, 14, 20, 6, 20, 24, 20, 8, 10, 6, 20, 24, 20, 6, 10, 60, 54, 54, 46, 49, 44, Circle
4.10156, 1.29199, 81.625, 8.85938, 20.4375, 20.0313, 20, 30, 30, 38, 26, 12, 10, 16, 16, 20, 14, 6, 10, 14, 14, 18, 12, 6, 55, 57, 57, 37, 43, 47, Circle
4.32031, 1.1875, 80.1875, 6.94922, 24.6094, 14.2109, 14, 20, 14, 24, 12, 22, 6, 10, 6, 12, 6, 10, 8, 10, 8, 12, 6, 12, 61, 53, 51, 38, 49, 44, Circle
5.14453, 1.20801, 75.75, 9.10156, 23.9688, 25.7188, 20, 36, 36, 20, 18, 12, 10, 16, 18, 10, 8, 6, 10, 20, 18, 10, 10, 6, 61, 46, 47, 41, 45, 48, Circle
4.64844, 1.66504, 77.125, 7.94531, 25.9375, 23.5156, 14, 28, 18, 38, 28, 8, 8, 14, 10, 18, 14, 4, 6, 14, 8, 20, 14, 4, 54, 51, 58, 40, 47, 43, Circle
4.03906, 2.61523, 81.5625, 7.91406, 22.1563, 17.3906, 12, 32, 20, 38, 22, 30, 6, 16, 10, 20, 12, 16, 6, 16, 10, 18, 10, 14, 50, 53, 54, 35, 47, 40, Circle
0.304443, 0.107239, 83.5, 2.32617, 7.96094, 11.1563, 8, 12, 0, 36, 32, 18, 4, 6, 0, 18, 16, 10, 4, 6, 0, 18, 16, 8, 22, 46, 31, 31, 23, 17, Circle
0.528809, 0.116577, 83.25, 1.5625, 4.94531, 3.29688, 6, 18, 26, 32, 28, 14, 2, 10, 14, 16, 14, 6, 4, 8, 12, 16, 14, 8, 26, 18, 33, 22, 20, 22, Circle
0.850586, 0.833008, 84.625, 1.83594, 4.90234, 5.69531, 2, 16, 30, 22, 22, 26, 2, 8, 16, 10, 12, 14, 0, 8, 14, 12, 10, 12, 33, 27, 20, 19, 23, 19, Circle
3.75977, 0.963867, 78.6875, 7.55078, 33.3125, 35.125, 6, 14, 14, 14, 6, 6, 2, 6, 6, 8, 2, 2, 4, 8, 8, 6, 4, 4, 22, 30, 32, 21, 19, 13, Circle
4.5625, 1.45996, 77.5625, 7.46484, 33.4063, 29, 6, 4, 14, 12, 12, 6, 4, 2, 8, 6, 6, 4, 2, 2, 6, 6, 6, 2, 29, 23, 22, 23, 24, 15, Circle
