@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_ACC_V numeric
@attribute F5_VAR_on_ACC_X numeric
@attribute F6_VAR_on_ACC_Y numeric
@attribute F7_VAR_on_ACC_Z numeric
@attribute F8_VAR_on_ACC_V numeric
@attribute F9_ENERGY_on_ACC_X numeric
@attribute F10_ENERGY_on_ACC_Y numeric
@attribute F11_ENERGY_on_ACC_Z numeric
@attribute F12_ENERGY_on_ACC_V numeric
@attribute F13_PeakToPeak_on_ACC_X numeric
@attribute F14_PeakToPeak_on_ACC_Y numeric
@attribute F15_PeakToPeak_on_ACC_Z numeric
@attribute F16_PeakToPeak_on_ACC_V numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
-0.00556564, -0.102905, 1, 1.03711, 0.0515747, 0.0115509, 0.0175781, 0.0166016, 4.18359, 1.79492, 82.5, 88.5, 0.878906, 0.466553, 0.562012, 0.525391, Circle
-0.109375, -0.0845947, 0.947754, 1.00293, 0.0655518, 0.0158234, 0.019043, 0.0136719, 6.28516, 1.86328, 74.375, 82.625, 0.793457, 0.483154, 0.579102, 0.427734, Circle
-0.0730591, -0.0939941, 0.938477, 1.00586, 0.0762939, 0.028244, 0.0249023, 0.0126953, 6.61328, 3.00586, 73.4375, 83, 0.933105, 0.659668, 0.605469, 0.54541, Circle
-0.0558472, -0.112305, 0.978516, 1.0166, 0.0469971, 0.00887299, 0.0185547, 0.0166016, 4.0625, 1.74121, 79.125, 85.125, 0.835449, 0.437256, 0.587402, 0.53418, Circle
-0.0539856, -0.12915, 0.995605, 1.03613, 0.0427551, 0.0178986, 0.0175781, 0.0166016, 3.70117, 2.80273, 81.75, 88.3125, 0.765137, 0.469727, 0.485352, 0.486328, Circle
-0.0358887, -0.0734253, 0.999512, 1.03125, 0.0466309, 0.00865936, 0.015625, 0.0117188, 3.88281, 1.13867, 82.25, 87.1875, 0.762207, 0.393311, 0.578125, 0.55127, Circle
-0.067627, -0.0777588, 0.982422, 1.01953, 0.0570068, 0.00843048, 0.0107422, 0.0146484, 4.99219, 1.17285, 79.125, 85.375, 0.885254, 0.400635, 0.541992, 0.441895, Circle
-0.0496826, -0.0646973, 0.996094, 1.03125, 0.0481262, 0.0117645, 0.0146484, 0.0078125, 4.10156, 1.29199, 81.625, 86.8125, 0.79541, 0.432617, 0.496094, 0.492188, Circle
-0.0969238, -0.0722046, 0.986816, 1.02246, 0.0438843, 0.00943756, 0.015625, 0.0126953, 4.32031, 1.1875, 80.1875, 85.8125, 0.765625, 0.449463, 0.483887, 0.470215, Circle
-0.126587, -0.0786133, 0.95459, 0.997559, 0.0474548, 0.0087204, 0.0234375, 0.0166016, 5.14453, 1.20801, 75.75, 82, 0.808594, 0.471924, 0.588379, 0.587402, Circle
-0.118652, -0.0900879, 0.965332, 1.00781, 0.0432739, 0.0124207, 0.0200195, 0.0136719, 4.64844, 1.66504, 77.125, 83.4375, 0.719238, 0.438232, 0.578613, 0.521484, Circle
-0.0841064, -0.140625, 0.993164, 1.03418, 0.0427551, 0.0124817, 0.0195313, 0.0185547, 4.03906, 2.61523, 81.5625, 88.1875, 0.802734, 0.499268, 0.714844, 0.596191, Circle
-0.00396347, 0.0031929, 1.01465, 1.0166, 0.00374031, 0.00131226, 0.000976563, 0.00292969, 0.304443, 0.107239, 83.5, 84, 0.378906, 0.182373, 0.273926, 0.254395, Circle
0.0606689, 0.0168152, 1.01172, 1.01563, 0.00284195, 0.00115585, 0.00390625, 0.00488281, 0.528809, 0.116577, 83.25, 84, 0.220093, 0.156982, 0.114258, 0.111816, Circle
0.0563965, 0.0678101, 1.02246, 1.0293, 0.00730896, 0.00568008, 0, 0.0078125, 0.850586, 0.833008, 84.625, 86.5, 0.266357, 0.375977, 0.316895, 0.346191, Circle
-0.0362854, 0.0428162, 0.973633, 1.00488, 0.0450745, 0.0100632, 0.0229492, 0.0175781, 3.75977, 0.963867, 78.6875, 83.3125, 0.629883, 0.397949, 0.436523, 0.395996, Circle
-0.0608215, -0.0842896, 0.967773, 1.00684, 0.0525818, 0.0109024, 0.0205078, 0.0175781, 4.5625, 1.45996, 77.5625, 83.5625, 0.769531, 0.419434, 0.53125, 0.44873, Circle
-0.0588074, -0.0750122, 0.960938, 1.0293, 0.10321, 0.0154648, 0.0229492, 0.0136719, 8.64844, 1.70898, 76.6875, 87, 0.980469, 0.424805, 0.577637, 0.418457, Circle
